_MethodBucket,Paper,year,method,Q2,ratio,stat,sys,GEn,stat.1,sys.1
Other / unspecified,Warren et el.,2004,pol15ND3,0.5,,,,0.053,0.003,0.003
Other / unspecified,Warren et el.,2004,pol15ND3,1.0,,,,0.045,0.005,0.004
Other / unspecified,Passchier et el.,1999,polH2,0.21,,,,0.066,0.015,0.004
Other / unspecified,Geis et el.,2008,polH2,0.142,0.051,0.007,0.003,0.03507,0.00500,0.00215
Other / unspecified,Geis et el.,2008,polH2,0.203,0.07,0.008,0.004,0.04203,0.00508,0.00236
Other / unspecified,Geis et el.,2008,polH2,0.291,0.102,0.013,0.005,0.05142,0.00639,0.00231
Other / unspecified,Geis et el.,2008,polH2,0.415,0.117,0.018,0.005,0.04664,0.00725,0.00207
Other / unspecified,Becker et el.,1999,,,,,,,,
Other / unspecified,Zhu et el.,2001,pol15ND3,0.495,,,,0.04632,0.00616,0.00341
Polarized 3He asymmetry,Meyerhoff et el.,1994,polHe3,0.31,,,,0.035,0.012,0.005
Polarized 3He asymmetry,Rohe et el.,1999,polHe3,0.67,,,,0.052,0.011,0.005
Polarized 3He asymmetry,Bermuth et el.,2003,polHe3,0.67,,,,0.042,0.01,0.002
Polarized 3He asymmetry,Riordan et el.,2010,polHe3,1.72,,,,0.024,0.002,0.003
Polarized 3He asymmetry,Riordan et el.,2010,polHe3,2.48,,,,0.021,0.002,0.002
Polarized 3He asymmetry,Riordan et el.,2010,polHe3,3.41,,,,0.015,0.002,0.001
Polarized 3He asymmetry,Schlimme et el.,2013,polHe3,1.58,0.25,0.058,0.017,0.024,0.006,0.002
Polarized 3He asymmetry,Sulkosky et el.,2017,polHe3,0.98,,,,0.041,0.008,0.002
Recoil polarization / pol transfer,Eden et el.,1994,recoil polarization on unpolrized deuterium,0.255,,,,0.066,0.036,0.009
Recoil polarization / pol transfer,Herberg et el.,1999,recoil polarization on unpolrized deuterium,0.15,,,,0.048,0.007,0.005
Recoil polarization / pol transfer,Ostrick et el.,1999,recoil polarization on unpolrized deuterium,0.34,,,,0.061,0.007,0.006
Recoil polarization / pol transfer,Madey et el.,2003,recoil polarization on unpolrized deuterium,0.45,1.003,0.006,,0.055,0.006,0.002
Recoil polarization / pol transfer,Madey et el.,2003,recoil polarization on unpolrized deuterium,1.13,1.057,0.017,,0.039,0.003,0.001
Recoil polarization / pol transfer,Madey et el.,2003,recoil polarization on unpolrized deuterium,1.45,1.044,0.024,,0.041,0.004,0.001
Recoil polarization / pol transfer,Glazier et el.,2005,recoil polarization on unpolrized deuterium,0.3,,,,0.055,0.006,0.002
Recoil polarization / pol transfer,Glazier et el.,2005,recoil polarization on unpolrized deuterium,0.59,,,,0.048,0.007,0.002
Recoil polarization / pol transfer,Glazier et el.,2005,recoil polarization on unpolrized deuterium,0.79,,,,0.047,0.009,0.003
Recoil polarization / pol transfer,Plaster et el.,2006,recoil polarization on unpolrized deuterium,0.45,1.003,0.005,,0.055,0.006,0.002
Recoil polarization / pol transfer,Plaster et el.,2006,recoil polarization on unpolrized deuterium,1.13,1.067,0.012,,0.04,0.003,0.001
Recoil polarization / pol transfer,Plaster et el.,2006,recoil polarization on unpolrized deuterium,1.45,1.064,0.016,,0.042,0.004,0.001
