Q2,GEn_over_GD,dGEn_over_GD,dGEnPar_over_GD,dGEn_total
1e-06,4.968462e-07,9.414196e-09,9.395173e-09,1.330023917177225e-08
1.0116e-06,5.025994e-07,9.523204e-09,9.504037e-09,1.3454297964702024e-08
1.0233e-06,5.084192e-07,9.633474e-09,9.614162e-09,1.3610140788063876e-08
1.0351e-06,5.143064e-07,9.745021e-09,9.725563e-09,1.3767788855056212e-08
1.0471e-06,5.202617e-07,9.85786e-09,9.838254e-09,1.392726267247502e-08
1.0593e-06,5.262861e-07,9.972005e-09,9.952252e-09,1.4088584158513906e-08
1.0715e-06,5.323801e-07,1.008747e-08,1.006757e-08,1.4251772405767642e-08
1.0839e-06,5.385448e-07,1.020428e-08,1.018423e-08,1.441686065033924e-08
1.0965e-06,5.447808e-07,1.032243e-08,1.030223e-08,1.4583843940395139e-08
1.1092e-06,5.510891e-07,1.044196e-08,1.042161e-08,1.4752778844465202e-08
1.122e-06,5.574703e-07,1.056287e-08,1.054236e-08,1.492365829836974e-08
1.135e-06,5.639255e-07,1.068517e-08,1.066452e-08,1.509651763683599e-08
1.1482e-06,5.704554e-07,1.08089e-08,1.078809e-08,1.5271385171558604e-08
1.1614e-06,5.77061e-07,1.093406e-08,1.091309e-08,1.5448275030944392e-08
1.1749e-06,5.83743e-07,1.106066e-08,1.103955e-08,1.562721548575113e-08
1.1885e-06,5.905024e-07,1.118873e-08,1.116746e-08,1.5808220705205882e-08
1.2023e-06,5.973401e-07,1.131829e-08,1.129686e-08,1.599133310214317e-08
1.2162e-06,6.042569e-07,1.144934e-08,1.142776e-08,1.6176559740970885e-08
1.2303e-06,6.112539e-07,1.158192e-08,1.156018e-08,1.6363943061462906e-08
1.2445e-06,6.183318e-07,1.171602e-08,1.169413e-08,1.655348305032207e-08
1.2589e-06,6.254917e-07,1.185169e-08,1.182963e-08,1.674522922485685e-08
1.2735e-06,6.327346e-07,1.198892e-08,1.19667e-08,1.693918863630723e-08
1.2882e-06,6.400612e-07,1.212774e-08,1.210536e-08,1.7135396646625953e-08
1.3032e-06,6.474728e-07,1.226816e-08,1.224563e-08,1.73338744625228e-08
1.3183e-06,6.549701e-07,1.241022e-08,1.238752e-08,1.7534657458838483e-08
1.3335e-06,6.625543e-07,1.255392e-08,1.253106e-08,1.7737766829282655e-08
1.349e-06,6.702263e-07,1.269928e-08,1.267625e-08,1.7943216728917366e-08
1.3646e-06,6.779871e-07,1.284632e-08,1.282314e-08,1.815105663596475e-08
1.3804e-06,6.858378e-07,1.299507e-08,1.297172e-08,1.8361300718176258e-08
1.3964e-06,6.937794e-07,1.314554e-08,1.312203e-08,1.8573984311732903e-08
1.4125e-06,7.018129e-07,1.329775e-08,1.327407e-08,1.878912157146789e-08
