Q2,GEn_model,dGEn_stat,dGEn_par,dGEn_total
1e-06,4.968448004361962e-07,9.414169481194052e-09,9.395146534779854e-09,1.3300201706388944e-08
1.0116e-06,5.02597967807137e-07,9.523176862950488e-09,9.504009917568223e-09,1.3454259625719678e-08
1.0233e-06,5.084177344669222e-07,9.63344623123202e-09,9.61413428689942e-09,1.3610101556438637e-08
1.0351e-06,5.14304900401717e-07,9.744992585776963e-09,9.725534642511981e-09,1.3767748711374298e-08
1.0471e-06,5.202601654512086e-07,9.857830923542614e-09,9.838224981371903e-09,1.3927221593025768e-08
1.0593e-06,5.262845295954421e-07,9.971975244165474e-09,9.952222303107182e-09,1.4088542119066582e-08
1.0715e-06,5.323784931155331e-07,1.0087439552958772e-08,1.0067539613023001e-08,1.425172938959986e-08
1.0839e-06,5.385431556975435e-07,1.0204248843961223e-08,1.0184198905178534e-08,1.4416816632312544e-08
1.0965e-06,5.447791173217933e-07,1.032239811684993e-08,1.0302198179242181e-08,1.4583798894908277e-08
1.1092e-06,5.51087378122261e-07,1.0441927374098897e-08,1.0421577437682467e-08,1.4752732749411825e-08
1.122e-06,5.574685380839606e-07,1.0562836615459022e-08,1.0542326680282022e-08,1.4923611131313625e-08
1.135e-06,5.639236970312458e-07,1.0685135837636987e-08,1.066448590365866e-08,1.5096469370620684e-08
1.1482e-06,5.70453554942813e-07,1.0808865040144017e-08,1.0788055107451014e-08,1.527133577842644e-08
1.1614e-06,5.77059112121124e-07,1.0934024228771474e-08,1.0913054297375696e-08,1.5448224491275098e-08
1.1749e-06,5.837410680621174e-07,1.1060623393979779e-08,1.1039513463844786e-08,1.5627163766399296e-08
1.1885e-06,5.905004230694644e-07,1.118869254148672e-08,1.1167422612696105e-08,1.5808167781197062e-08
1.2023e-06,5.97338076957245e-07,1.131825166775915e-08,1.1296821740337244e-08,1.5991278943464436e-08
1.2162e-06,6.042548298722435e-07,1.1449300775629491e-08,1.1427720849560558e-08,1.6176504321586637e-08
1.2303e-06,6.112517816233283e-07,1.1581879861410878e-08,1.1560139936753561e-08,1.6363886350176093e-08
1.2445e-06,6.183296323608397e-07,1.171597892803224e-08,1.1694089004770363e-08,1.6553425020024904e-08
1.2589e-06,6.254894818889949e-07,1.1851647971682088e-08,1.182958804991099e-08,1.6745169843130077e-08
1.2735e-06,6.327323301821263e-07,1.1988876991975937e-08,1.196665707168606e-08,1.693912787011374e-08
1.2882e-06,6.400588773955101e-07,1.2127695991796757e-08,1.210531607300757e-08,1.713533446702627e-08
1.3032e-06,6.474704231430144e-07,1.2268114963881425e-08,1.2245585046588509e-08,1.7333810830288976e-08
1.3183e-06,6.549676677614706e-07,1.24101739145142e-08,1.2387473998810896e-08,1.7534592343698918e-08
1.3335e-06,6.625518112290986e-07,1.2553872843365753e-08,1.2531012929235399e-08,1.773770020042229e-08
1.349e-06,6.702237531473185e-07,1.2699231742873533e-08,1.2676201830387284e-08,1.794314854488812e-08
1.3646e-06,6.779844938632974e-07,1.2846270619612019e-08,1.2823090708714375e-08,1.8150986864526785e-08
1.3804e-06,6.85835133161301e-07,1.2995019469458273e-08,1.2971669560253332e-08,1.836122932137177e-08
