#run N+ N- A_raw_p dA_raw_p
2506 71 69 0.0142857 0.0845068
2507 35 22 0.22807 0.128962
2511 79 54 0.18797 0.0851654
2512 21 31 -0.192308 0.136087
2516 73 78 -0.0331126 0.0813342
2517 64 48 0.142857 0.093522
2518 46 41 0.0574713 0.107034
2519 37 39 -0.0263158 0.114668
2520 60 59 0.00840336 0.0916666
2521 84 67 0.112583 0.0808615
2522 55 52 0.0280374 0.0966356
2523 11 23 -0.352941 0.160462
2524 89 84 0.0289017 0.0759968
2525 50 31 0.234568 0.108011
2526 30 39 -0.130435 0.119357
2527 71 63 0.0597015 0.0862328
2528 80 68 0.0810811 0.0819289
2529 34 48 -0.170732 0.10881
2531 7 5 0.166667 0.284638
2535 56 54 0.0181818 0.0953305
2536 16 17 -0.030303 0.173998
2537 56 56 0 0.0944911
2539 76 79 -0.0193548 0.0803069
2540 91 101 -0.0520833 0.0720708
2541 64 69 -0.037594 0.0866497
2542 81 74 0.0451613 0.08024
2543 104 104 0 0.0693375
2544 75 81 -0.0384615 0.0800048
2545 4 2 0.333333 0.3849
2551 94 105 -0.0552764 0.0707797
2552 64 41 0.219048 0.09522
2553 82 81 0.00613497 0.0783246
2554 84 76 0.05 0.0789581
2555 83 77 0.0375 0.0790013
2556 74 70 0.0277778 0.0833012
2557 87 100 -0.0695187 0.0729503
2558 69 94 -0.153374 0.0773993
2559 38 38 0 0.114708
2560 45 49 -0.0425532 0.103049
2561 97 89 0.0430108 0.0732557
2562 36 56 -0.217391 0.101764
2563 13 9 0.181818 0.209647
2564 4 7 -0.272727 0.290081
2565 16 15 0.0322581 0.179512
2566 6 6 0 0.288675
2568 5 4 0.111111 0.331269
2569 12 10 0.0909091 0.212318
2570 9 5 0.285714 0.25612
2571 14 16 -0.0666667 0.182168
2572 79 63 0.112676 0.0833837
2574 146 136 0.035461 0.0595117
2575 90 90 0 0.0745356
2576 62 68 -0.0461538 0.0876123
2577 46 58 -0.115385 0.0974031
2578 43 38 0.0617284 0.110899
2579 79 52 0.206107 0.0854945
2580 106 80 0.139785 0.0726037
2581 42 55 -0.134021 0.100619
2583 139 103 0.14876 0.0635672
2585 108 97 0.0536585 0.0697424
2586 100 105 -0.0243902 0.0698223
2587 46 45 0.010989 0.104822
2613 88 108 -0.102041 0.0710557
2614 60 40 0.2 0.0979796
2615 83 102 -0.102703 0.0731327
2616 68 75 -0.048951 0.083524
2617 106 78 0.152174 0.0728624
2618 139 112 0.10757 0.0627532
2619 82 85 -0.0179641 0.0773698
2620 93 81 0.0689655 0.0756293
2621 82 78 0.025 0.0790322
2622 58 87 -0.2 0.0813676
2623 50 38 0.136364 0.105605
2624 83 93 -0.0568182 0.0752561
2625 109 108 0.00460829 0.0678837
2626 93 107 -0.07 0.0705372
2627 100 105 -0.0243902 0.0698223
2628 65 55 0.0833333 0.0909696
2629 128 128 0 0.0625
2630 7 11 -0.222222 0.229809
2631 102 105 -0.0144928 0.0694975
2632 55 49 0.0576923 0.0978947
2633 93 90 0.0163934 0.0739122
2634 36 34 0.0285714 0.119474
2635 167 169 -0.00595238 0.0545535
2637 93 96 -0.015873 0.0727301
2638 81 93 -0.0689655 0.0756293
2646 93 88 0.0276243 0.074301
2647 98 81 0.0949721 0.0744057
2648 72 66 0.0434783 0.0850452
2649 15 12 0.111111 0.191258
2650 116 129 -0.0530612 0.0637977
2651 91 74 0.10303 0.0774356
2659 92 72 0.121951 0.077504
2660 79 97 -0.102273 0.0749826
2661 74 88 -0.0864198 0.0782735
2662 38 40 -0.025641 0.11319
2667 96 97 -0.00518135 0.0719806
2668 116 123 -0.0292887 0.0646569
2669 80 93 -0.0751445 0.0758136
2670 92 91 0.00546448 0.073921
2671 93 109 -0.0792079 0.0701387
2674 106 101 0.0241546 0.0694845
2676 95 84 0.0614525 0.0746022
2677 82 96 -0.0786517 0.074721
2678 7 5 0.166667 0.284638
2679 88 104 -0.0833333 0.0719178
2680 85 106 -0.109948 0.0719188
2681 72 89 -0.10559 0.0783705
2683 47 50 -0.0309278 0.101486
2684 71 73 -0.0138889 0.0833253
2685 80 96 -0.0909091 0.0750657
2687 80 89 -0.0532544 0.0768139
2688 91 86 0.0282486 0.0751346
2689 88 102 -0.0736842 0.0723504
2690 57 61 -0.0338983 0.0920046
2691 75 94 -0.112426 0.0764354
2692 93 93 0 0.0733236
2693 62 76 -0.101449 0.0846865
2694 126 87 0.183099 0.0673605
2695 110 133 -0.0946502 0.063862
2696 67 60 0.0551181 0.0886008
2697 105 81 0.129032 0.0727106
2698 93 101 -0.0412371 0.0717347
2699 108 93 0.0746269 0.0703379
2700 108 99 0.0434783 0.0694391
2701 95 93 0.0106383 0.0729284
2702 110 109 0.00456621 0.067573
2703 88 90 -0.011236 0.0749484
2704 87 85 0.0116279 0.0762441
2705 89 79 0.0595238 0.0770149
2706 115 104 0.0502283 0.0674884
2707 68 61 0.0542636 0.0879154
2709 59 56 0.026087 0.0932187
2710 18 18 0 0.166667
2711 116 114 0.00869565 0.0659356
2712 94 112 -0.0873786 0.0694068
2713 26 24 0.04 0.141308
2714 89 73 0.0987654 0.0781833
2715 87 75 0.0740741 0.0783516
2716 112 105 0.0322581 0.0678491
2717 113 78 0.183246 0.0711322
2718 106 112 -0.0275229 0.0677029
2719 88 104 -0.0833333 0.0719178
2720 88 73 0.0931677 0.0784682
2721 86 93 -0.0391061 0.0746863
2722 108 88 0.102041 0.0710557
2723 87 82 0.0295858 0.0768894
2724 104 92 0.0612245 0.0712946
2725 109 100 0.0430622 0.0691073
2726 99 98 0.00507614 0.0712461
2727 82 103 -0.113514 0.0730463
2728 72 74 -0.0136986 0.0827528
2729 95 82 0.0734463 0.0749616
2730 19 27 -0.173913 0.145195
2763 69 92 -0.142857 0.0780027
2764 81 66 0.102041 0.0820481
2765 75 68 0.048951 0.083524
2766 90 76 0.0843373 0.0773385
2767 107 98 0.0439024 0.0697757
2768 88 112 -0.12 0.0701997
2769 80 90 -0.0588235 0.0765637
2770 37 38 -0.0133333 0.11546
2959 67 67 0 0.0863868
2964 67 46 0.185841 0.0924333
2966 81 81 0 0.0785674
2967 42 35 0.0909091 0.113489
2968 115 97 0.0849057 0.0684323
2970 40 41 -0.0123457 0.111103
2971 7 11 -0.222222 0.229809
2973 41 52 -0.11828 0.102967
2974 69 55 0.112903 0.0892285
2976 6 13 -0.368421 0.213278
2981 3 5 -0.25 0.342327
2983 75 100 -0.142857 0.0748176
2984 180 165 0.0434783 0.0537873
2985 125 162 -0.12892 0.0585355
2986 25 25 0 0.141421
2988 36 26 0.16129 0.125337
2989 142 139 0.0106762 0.0596516
2990 28 38 -0.151515 0.12167
2995 153 143 0.0337838 0.0580906
2996 15 16 -0.0322581 0.179512
2997 104 93 0.0558376 0.0711359
2998 133 166 -0.110368 0.0574782
2999 163 161 0.00617284 0.0555545
3000 60 78 -0.130435 0.0843984
3001 32 31 0.015873 0.125972
3003 55 42 0.134021 0.100619
3004 179 155 0.0718563 0.0545761
3005 138 144 -0.0212766 0.0595357
3006 57 61 -0.0338983 0.0920046
3007 156 156 0 0.0566139
3008 61 78 -0.122302 0.0841822
3009 48 77 -0.232 0.0870023
3011 92 111 -0.0935961 0.0698781
3013 80 66 0.0958904 0.0823792
3014 96 82 0.0786517 0.074721
3016 73 79 -0.0394737 0.0810475
3017 62 48 0.127273 0.0945709
3018 61 50 0.0990991 0.0944486
3019 41 39 0.025 0.111768
3020 68 89 -0.133758 0.0790915
3021 63 69 -0.0454545 0.0869489
3022 16 22 -0.157895 0.160187
3024 42 47 -0.0561798 0.105832
3025 64 65 -0.00775194 0.0880424
3026 75 59 0.119403 0.0857688
3027 166 162 0.0121951 0.0552117
3028 146 122 0.0895522 0.0608393
