#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
3510 1 0 1 0 86.185 0.163 45.2244 1.28259
3511 1 1 0 0.707107 86.185 0.163 45.2271 1.28274
3512 1 0 1 0 86.185 0.163 45.2336 1.28309
3514 3 1 0.5 0.433013 86.185 0.163 45.2407 1.28348
3515 1 0 1 0 86.185 0.163 45.249 1.28394
3517 3 6 -0.333333 0.31427 86.185 0.163 45.257 1.28437
3518 5 2 0.428571 0.341494 86.185 0.163 45.2695 1.28505
3519 7 5 0.166667 0.284638 86.185 0.163 45.2827 1.28577
3520 4 7 -0.272727 0.290081 86.185 0.163 45.2977 1.16377
3521 3 3 0 0.408248 86.185 0.163 45.3048 1.28697
3523 3 3 0 0.408248 86.185 0.163 45.3127 1.28741
3524 5 6 -0.0909091 0.300263 86.185 0.163 45.33 1.28834
3525 4 6 -0.2 0.309839 86.185 0.163 45.3433 1.22909
3526 1 4 -0.6 0.357771 86.185 0.163 45.3565 1.28979
3552 4 3 0.142857 0.374088 86.185 0.163 47.0736 1.34142
3553 4 3 0.142857 0.374088 86.185 0.163 45.5874 1.30003
3554 1 0 1 0 86.185 0.163 44.6129 1.27265
3555 4 4 0 0.353553 86.185 0.163 44.217 1.26143
3556 4 6 -0.2 0.309839 86.185 0.163 43.9636 1.25405
3557 9 3 0.5 0.25 86.185 0.163 43.7609 1.13944
3558 13 4 0.529412 0.205759 86.185 0.163 43.5814 1.12985
3559 3 2 0.2 0.438178 86.185 0.163 43.5505 1.24711
3560 7 6 0.0769231 0.276528 86.185 0.163 43.5095 1.20074
3561 7 3 0.4 0.289828 86.185 0.163 43.7137 1.1879
3562 7 6 0.0769231 0.276528 86.185 0.163 44.0662 1.09962
3578 7 3 0.4 0.289828 86.185 0.163 44.0136 1.20531
3579 13 9 0.181818 0.209647 86.185 0.163 43.845 1.07681
3580 3 9 -0.5 0.25 86.185 0.163 43.6773 1.20119
3581 5 6 -0.0909091 0.300263 86.185 0.163 43.5081 1.0796
3582 2 1 0.333333 0.544331 86.185 0.163 43.8885 1.24888
3583 2 0 1 0 86.185 0.163 44.1416 1.25211
3588 6 2 0.5 0.306186 86.185 0.163 44.486 1.25902
3589 5 10 -0.333333 0.243432 86.185 0.163 43.7136 1.21363
3590 4 9 -0.384615 0.256015 86.185 0.163 42.9421 1.20442
3591 11 3 0.571429 0.219328 86.185 0.163 42.6502 1.20524
3592 6 7 -0.0769231 0.276528 86.185 0.163 42.7626 1.24833
3593 8 7 0.0666667 0.257624 86.185 0.163 42.8758 1.15985
3594 11 6 0.294118 0.231808 86.185 0.163 43.0122 1.12798
3595 6 9 -0.2 0.252982 86.185 0.163 43.1151 1.24066
3596 1 3 -0.5 0.433013 86.185 0.163 43.1842 1.07312
3671 3 0 1 0 86.185 0.163 47.6745 1.40015
3672 4 2 0.333333 0.3849 86.185 0.163 46.8391 1.38374
3673 7 3 0.4 0.289828 86.185 0.163 45.822 1.36412
3694 0 5 -1 0 86.185 0.163 49.7944 1.55462
3695 2 6 -0.5 0.306186 86.185 0.163 49.3035 1.6106
3696 1 1 0 0.707107 86.185 0.163 48.5624 1.69575
3697 3 1 0.5 0.433013 86.185 0.163 48.6352 1.69342
3698 2 0 1 0 86.185 0.163 48.7296 1.69039
3701 2 3 -0.2 0.438178 86.185 0.163 49.0563 1.67992
3702 10 12 -0.0909091 0.212318 86.185 0.163 48.4698 1.58742
3703 6 13 -0.368421 0.213278 86.185 0.163 47.5298 1.55999
3704 8 8 0 0.25 86.185 0.163 46.9941 1.58855
3705 6 6 0 0.288675 86.185 0.163 46.7217 1.56767
3706 0 0 0 0 86.185 0.163 46.6458 1.63626
3708 2 0 1 0 86.185 0.163 47.0121 1.63768
3709 10 6 0.25 0.242061 86.185 0.163 47.3142 1.53303
3710 10 4 0.428571 0.241473 86.185 0.163 47.7553 1.58095
3711 5 7 -0.166667 0.284638 86.185 0.163 47.4719 1.5618
3712 5 5 0 0.316228 86.185 0.163 46.6215 1.53194
3713 6 4 0.2 0.309839 86.185 0.163 46.2226 1.5315
3714 8 5 0.230769 0.269864 86.185 0.163 46.434 1.55236
3715 10 11 -0.047619 0.21797 86.185 0.163 46.5704 1.5337
3716 9 9 0 0.235702 86.185 0.163 46.5785 1.47731
3717 10 6 0.25 0.242061 86.185 0.163 46.807 1.62425
3718 1 4 -0.6 0.357771 86.185 0.163 47.2526 1.6312
3719 4 8 -0.333333 0.272166 86.185 0.163 47.5592 1.57601
3720 2 0 1 0 86.185 0.163 47.6889 1.65739
3721 1 0 1 0 86.185 0.163 47.7848 1.6662
3722 5 2 0.428571 0.341494 86.185 0.163 48.9585 1.60933
3723 4 2 0.333333 0.3849 86.185 0.163 48.9118 1.73857
3729 6 6 0 0.288675 86.185 0.163 47.4886 1.52942
3730 1 1 0 0.707107 86.185 0.163 48.8087 1.19249
3731 2 4 -0.333333 0.3849 86.185 0.163 48.0949 1.75623
3732 10 4 0.428571 0.241473 86.185 0.163 47.2587 1.7699
3733 4 1 0.6 0.357771 86.185 0.163 46.932 1.83622
3734 9 4 0.384615 0.256015 86.185 0.163 47.0207 1.7679
3737 8 2 0.6 0.252982 86.185 0.163 47.1461 1.67092
3738 3 2 0.2 0.438178 86.185 0.163 47.1807 1.44477
3739 8 4 0.333333 0.272166 86.185 0.163 47.0907 1.47391
3740 9 10 -0.0526316 0.229098 86.185 0.163 47.0067 1.52659
3741 6 9 -0.2 0.252982 86.185 0.163 47.1886 1.62278
3742 2 3 -0.2 0.438178 86.185 0.163 47.47 1.63435
3748 7 6 0.0769231 0.276528 86.185 0.163 48.793 1.55953
3749 7 1 0.75 0.233854 86.185 0.163 48.6808 1.67512
3750 4 1 0.6 0.357771 86.185 0.163 48.4628 1.65957
3752 10 4 0.428571 0.241473 86.185 0.163 48.0302 1.39419
3753 2 3 -0.2 0.438178 86.185 0.163 47.697 1.64301
3754 4 3 0.142857 0.374088 86.185 0.163 47.3409 1.63532
3755 6 4 0.2 0.309839 86.185 0.163 47.106 1.63002
3756 13 5 0.444444 0.211144 86.185 0.163 46.7462 1.37804
3758 5 6 -0.0909091 0.300263 86.185 0.163 46.4933 1.61572
3759 3 5 -0.25 0.342327 86.185 0.163 46.3234 1.60999
3761 3 4 -0.142857 0.374088 86.185 0.163 46.3017 1.48591
3762 10 7 0.176471 0.238729 86.185 0.163 46.2763 1.45147
3763 10 8 0.111111 0.234243 86.185 0.163 46.2945 1.50473
3764 8 3 0.454545 0.268563 86.185 0.163 46.3554 1.36057
3765 8 7 0.0666667 0.257624 86.185 0.163 46.4414 1.49177
3766 8 11 -0.157895 0.226538 86.185 0.163 46.5656 1.46288
