#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
5045 1 0 1 0 80.795 0.097 37.9512 2.94643
5046 1 0 1 0 80.795 0.097 37.9302 2.95604
5047 1 2 -0.333333 0.544331 80.795 0.097 37.6862 3.12461
5048 7 9 -0.125 0.248039 80.795 0.097 37.1719 3.48092
5049 2 0 1 0 80.795 0.097 36.8771 2.60787
5053 4 5 -0.111111 0.331269 80.795 0.097 36.781 3.95488
5054 1 0 1 0 80.795 0.097 36.8099 4.02801
5086 3 2 0.2 0.438178 80.795 0.097 37.0365 4.36562
5090 5 6 -0.0909091 0.300263 80.795 0.097 36.6108 3.61267
5091 9 10 -0.0526316 0.229098 80.795 0.097 35.7725 2.92716
5093 6 8 -0.142857 0.26452 80.795 0.097 34.883 2.72433
5094 1 3 -0.5 0.433013 80.795 0.097 34.8555 2.72259
5095 11 10 0.047619 0.21797 80.795 0.097 34.8725 2.59534
5099 3 4 -0.142857 0.374088 80.795 0.097 35.0169 2.94206
5100 5 3 0.25 0.342327 80.795 0.097 35.1144 3.34677
5101 3 1 0.5 0.433013 80.795 0.097 35.2105 3.95621
5102 0 3 -1 0 80.795 0.097 35.3568 4.23875
5103 4 6 -0.2 0.309839 80.795 0.097 35.9521 7.30762
5104 3 3 0 0.408248 80.795 0.097 37.0408 12.072
5105 2 2 0 0.5 80.795 0.097 37.5944 14.5409
5106 0 1 -1 0 80.795 0.097 38.1743 17.0252
5107 8 5 0.230769 0.269864 80.795 0.097 32.9699 3.22779
5108 9 7 0.125 0.248039 80.795 0.097 33.5843 2.78799
5110 6 7 -0.0769231 0.276528 80.795 0.097 34.0963 2.25652
5112 4 5 -0.111111 0.331269 80.795 0.097 34.317 2.45379
5113 8 4 0.333333 0.272166 80.795 0.097 34.4329 2.36583
5114 6 5 0.0909091 0.300263 80.795 0.097 34.4656 2.6165
5115 6 5 0.0909091 0.300263 80.795 0.097 34.5467 2.67284
5116 8 9 -0.0588235 0.242116 80.795 0.097 34.6485 2.82769
5121 9 6 0.2 0.252982 80.795 0.097 33.6834 2.56231
5122 3 5 -0.25 0.342327 80.795 0.097 33.535 2.53762
5124 3 7 -0.4 0.289828 80.795 0.097 33.6756 2.66271
5126 3 3 0 0.408248 80.795 0.097 33.9238 2.6158
5127 7 5 0.166667 0.284638 80.795 0.097 34.2965 3.26655
5129 6 1 0.714286 0.26452 80.795 0.097 34.5323 4.0364
5135 1 0 1 0 80.795 0.097 34.8853 5.52399
5140 2 1 0.333333 0.544331 80.795 0.097 36.1813 2.96017
5142 0 1 -1 0 80.795 0.097 36.321 2.99274
5143 2 1 0.333333 0.544331 80.795 0.097 36.273 3.0112
5145 6 3 0.333333 0.31427 80.795 0.097 36.2642 2.75913
5146 5 2 0.428571 0.341494 80.795 0.097 35.8903 2.79045
5147 4 7 -0.272727 0.290081 80.795 0.097 36.5554 2.67045
5148 3 3 0 0.408248 80.795 0.097 36.2571 2.77793
5152 4 12 -0.5 0.216506 80.795 0.097 36.005 2.78268
5153 5 7 -0.166667 0.284638 80.795 0.097 35.8017 3.38813
5154 5 9 -0.285714 0.25612 80.795 0.097 35.6774 3.52085
5156 3 3 0 0.408248 80.795 0.097 35.4963 3.10802
5164 8 4 0.333333 0.272166 80.795 0.097 35.396 2.62042
5165 2 4 -0.333333 0.3849 80.795 0.097 34.8654 2.71525
5167 6 9 -0.2 0.252982 80.795 0.097 34.8839 3.6752
5176 1 8 -0.777778 0.209513 80.795 0.097 34.1524 7.66055
5183 4 5 -0.111111 0.331269 80.795 0.097 33.5036 3.99811
5185 6 5 0.0909091 0.300263 80.795 0.097 33.4459 2.71731
5186 10 7 0.176471 0.238729 80.795 0.097 33.8697 2.63153
5187 1 0 1 0 80.795 0.097 -1 -1
5188 2 2 0 0.5 80.795 0.097 -1 -1
5301 4 1 0.6 0.357771 80.795 0.097 33.8651 2.42143
5302 6 2 0.5 0.306186 80.795 0.097 34.0917 2.29317
5303 5 2 0.428571 0.341494 80.795 0.097 32.3064 2.33142
