#run N+ N- A_raw_p dA_raw_p
5044 1 1 0 0.707107
5045 3 3 0 0.408248
5046 2 2 0 0.5
5047 14 19 -0.151515 0.172068
5048 44 39 0.060241 0.109565
5049 3 2 0.2 0.438178
5053 15 17 -0.0625 0.176431
5054 7 10 -0.176471 0.238729
5086 9 10 -0.0526316 0.229098
5090 27 28 -0.0181818 0.134818
5091 50 36 0.162791 0.106394
5093 33 35 -0.0294118 0.121215
5094 8 10 -0.111111 0.234243
5095 35 34 0.0144928 0.120373
5096 3 2 0.2 0.438178
5099 9 20 -0.37931 0.171818
5100 16 16 0 0.176777
5101 12 4 0.5 0.216506
5102 14 11 0.12 0.198555
5103 21 24 -0.0666667 0.14874
5104 12 19 -0.225806 0.174966
5105 3 3 0 0.408248
5106 12 7 0.263158 0.221329
5107 30 22 0.153846 0.137024
5108 46 45 0.010989 0.104822
5109 5 3 0.25 0.342327
5110 20 23 -0.0697674 0.152127
5112 15 18 -0.0909091 0.173357
5113 25 29 -0.0740741 0.135709
5114 31 20 0.215686 0.136732
5115 29 24 0.0943396 0.136748
5116 23 28 -0.0980392 0.139353
5121 28 31 -0.0508475 0.130021
5122 18 21 -0.0769231 0.159654
5124 26 22 0.0833333 0.143836
5126 23 11 0.352941 0.160462
5127 25 22 0.0638298 0.145568
5129 11 4 0.466667 0.22836
5135 5 11 -0.375 0.231756
5140 6 3 0.333333 0.31427
5142 8 4 0.333333 0.272166
5143 15 6 0.428571 0.197162
5145 20 19 0.025641 0.160076
5146 24 13 0.297297 0.156966
5147 27 22 0.102041 0.142111
5148 21 15 0.166667 0.164336
5152 18 21 -0.0769231 0.159654
5153 26 20 0.130435 0.146182
5154 25 37 -0.193548 0.124599
5155 3 3 0 0.408248
5156 16 9 0.28 0.192
5164 13 24 -0.297297 0.156966
5165 17 16 0.030303 0.173998
5167 12 16 -0.142857 0.187044
5176 22 24 -0.0434783 0.147303
5183 19 24 -0.116279 0.151464
5185 28 27 0.0181818 0.134818
5186 27 32 -0.0847458 0.129721
5187 1 5 -0.666667 0.30429
5188 1 2 -0.333333 0.544331
5301 13 12 0.04 0.19984
5302 16 15 0.0322581 0.179512
5303 19 13 0.1875 0.173641
5315 16 19 -0.0857143 0.168409
5316 15 18 -0.0909091 0.173357
5317 9 12 -0.142857 0.21598
5318 25 22 0.0638298 0.145568
5320 20 18 0.0526316 0.161997
5321 9 12 -0.142857 0.21598
5322 13 19 -0.1875 0.173641
5323 19 21 -0.05 0.157916
5324 21 15 0.166667 0.164336
5364 4 7 -0.272727 0.290081
5378 21 20 0.0243902 0.156127
5379 16 19 -0.0857143 0.168409
5380 20 17 0.0810811 0.163858
5385 3 3 0 0.408248
5386 11 10 0.047619 0.21797
5387 7 10 -0.176471 0.238729
5388 7 17 -0.416667 0.185561
5406 17 17 0 0.171499
5407 4 2 0.333333 0.3849
5408 24 21 0.0666667 0.14874
5409 16 24 -0.2 0.154919
5411 2 2 0 0.5
5412 18 23 -0.121951 0.155008
5414 5 3 0.25 0.342327
5416 16 27 -0.255814 0.147424
5461 8 8 0 0.25
5462 26 16 0.238095 0.149866
5463 16 15 0.0322581 0.179512
5464 19 11 0.266667 0.175963
5465 2 5 -0.428571 0.341494
5466 8 13 -0.238095 0.211942
5467 12 2 0.714286 0.187044
5468 35 34 0.0144928 0.120373
5469 23 26 -0.0612245 0.142589
5470 20 23 -0.0697674 0.152127
5471 9 18 -0.333333 0.181444
5472 30 35 -0.0769231 0.123667
5476 34 26 0.133333 0.127947
5477 22 19 0.0731707 0.155755
5478 9 9 0 0.235702
5479 4 5 -0.111111 0.331269
