#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
2613 64 52 0.103448 0.0923495 86.488 0.00742781 42.1445 0.00464238
2614 30 26 0.0714286 0.133289 86.488 0.0106904 42.4947 0.00668153
2615 54 69 -0.121951 0.089494 86.488 0.00721336 42.9403 0.00450835
2616 44 56 -0.12 0.0992774 86.488 0.008 43.1855 0.005
2617 60 65 -0.04 0.0893711 86.488 0.00715542 43.193 0.00447214
2618 94 87 0.038674 0.0742738 86.488 0.00594635 43.2012 0.00371647
2619 60 51 0.0810811 0.0946033 86.488 0.00759326 43.3198 0.00474579
2620 71 61 0.0757576 0.0867887 86.488 0.00696311 43.4656 0.00435194
2621 53 53 0 0.0971286 86.488 0.00777029 43.3937 0.00485643
2622 62 44 0.169811 0.0957179 86.488 0.00777029 43.2046 0.00485643
2623 40 28 0.176471 0.119365 86.488 0.00970143 43.0141 0.00606339
2624 65 60 0.04 0.0893711 86.488 0.00715542 42.8804 0.00447214
2625 69 69 0 0.0851257 86.488 0.00681005 42.8447 0.00425628
2626 62 63 -0.008 0.0894399 86.488 0.00715542 42.8615 0.00447214
2627 66 79 -0.0896552 0.082711 86.488 0.00664364 42.9275 0.00415227
2628 39 50 -0.123596 0.105187 86.488 0.00847998 42.9832 0.00529999
2629 75 75 0 0.0816497 86.488 0.00653197 43.16 0.00408248
2630 7 7 0 0.267261 86.488 0.0213809 43.3301 0.0133631
2631 86 66 0.131579 0.0804055 86.488 0.00648886 43.482 0.00405554
2632 28 31 -0.0508475 0.130021 86.488 0.0104151 43.7263 0.00650945
2633 59 59 0 0.0920575 86.488 0.0073646 44.3274 0.00460287
2634 16 17 -0.030303 0.173998 86.488 0.0139262 45.0054 0.00870388
2635 108 88 0.102041 0.0710557 86.488 0.00571429 46.6111 0.00357143
2637 74 57 0.129771 0.0866316 86.488 0.00698963 46.2396 0.00436852
2638 48 48 0 0.102062 86.488 0.00816497 45.9512 0.0051031
2646 66 65 0.00763359 0.0873679 86.488 0.00698963 45.1984 0.00436852
2647 54 67 -0.107438 0.0903829 86.488 0.00727273 44.89 0.00454545
2648 52 57 -0.0458716 0.0956818 86.488 0.00766261 44.6207 0.00478913
2649 13 16 -0.103448 0.184699 86.488 0.0148556 44.4194 0.00928477
2650 74 54 0.15625 0.0873027 86.488 0.00707107 44.6359 0.00441942
2651 59 57 0.0172414 0.0928339 86.488 0.00742781 45.3033 0.00464238
2659 51 57 -0.0555556 0.0960764 86.488 0.007698 45.3093 0.00481125
2660 49 48 0.0103093 0.101529 86.488 0.00812277 45.2014 0.00507673
2661 52 56 -0.037037 0.096159 86.488 0.007698 44.9852 0.00481125
2662 23 28 -0.0980392 0.139353 86.488 0.0112022 44.7207 0.0070014
2667 76 60 0.117647 0.0851538 86.488 0.00685994 44.3232 0.00428746
2668 62 59 0.0247934 0.0908811 86.488 0.00727273 44.2423 0.00454545
2669 68 58 0.0793651 0.0888061 86.488 0.00712697 44.3642 0.00445435
2670 86 54 0.228571 0.0822781 86.488 0.00676123 44.4827 0.00422577
2671 67 61 0.046875 0.0882912 86.488 0.00707107 44.4657 0.00441942
2674 79 46 0.264 0.0862695 86.488 0.00715542 44.2691 0.00447214
2676 56 57 -0.00884956 0.0940684 86.488 0.00752577 44.2146 0.0047036
2677 58 59 -0.00854701 0.0924467 86.488 0.007396 44.412 0.0046225
2678 3 3 0 0.408248 86.488 0.0326599 44.4946 0.0204124
2679 73 52 0.168 0.0881715 86.488 0.00715542 44.589 0.00447214
2680 69 72 -0.0212766 0.0841961 86.488 0.00673722 44.7184 0.00421076
2681 62 61 0.00813008 0.090164 86.488 0.00721336 44.8091 0.00450835
2683 39 33 0.0833333 0.117441 86.488 0.00942809 44.9036 0.00589256
