#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
5045 0 1 -1 0 80.795 0.097 40.9793 0.05
5046 1 0 1 0 80.795 0.097 40.939 0.05
5047 3 2 0.2 0.438178 80.795 0.0433797 40.6357 0.0223607
5048 8 11 -0.157895 0.226538 80.795 0.0222533 40.126 0.0114708
5049 3 1 0.5 0.433013 80.795 0.0485 39.7993 0.025
5053 4 3 0.142857 0.374088 80.795 0.0366626 39.7013 0.0188982
5054 1 1 0 0.707107 80.795 0.0685894 39.7456 0.0353553
5086 2 2 0 0.5 80.795 0.0485 39.9778 0.025
5090 7 6 0.0769231 0.276528 80.795 0.026903 39.871 0.0138675
5091 11 12 -0.0434783 0.208317 80.795 0.0202259 38.7512 0.0104257
5093 5 8 -0.230769 0.269864 80.795 0.026903 37.6596 0.0138675
5094 1 3 -0.5 0.433013 80.795 0.0485 37.6239 0.025
5095 13 8 0.238095 0.211942 80.795 0.0211671 37.6726 0.0109109
5099 1 4 -0.6 0.357771 80.795 0.0433797 37.796 0.0223607
5100 7 4 0.272727 0.290081 80.795 0.0292466 37.8974 0.0150756
5101 3 2 0.2 0.438178 80.795 0.0433797 38.0122 0.0223607
5102 0 4 -1 0 80.795 0.0485 38.0793 0.025
5103 6 7 -0.0769231 0.276528 80.795 0.026903 38.7434 0.0138675
5104 2 5 -0.428571 0.341494 80.795 0.0366626 39.8453 0.0188982
5105 0 1 -1 0 80.795 0.097 40.4608 0.05
5106 1 3 -0.5 0.433013 80.795 0.0485 41.211 0.025
5107 10 5 0.333333 0.243432 80.795 0.0250453 35.6548 0.0129099
5108 8 5 0.230769 0.269864 80.795 0.026903 36.3051 0.0138675
5109 1 0 1 0 80.795 0.097 36.5979 0.05
5110 6 5 0.0909091 0.300263 80.795 0.0292466 36.8256 0.0150756
5112 7 1 0.75 0.233854 80.795 0.0342947 37.0132 0.0176777
5113 8 7 0.0666667 0.257624 80.795 0.0250453 37.17 0.0129099
5114 3 3 0 0.408248 80.795 0.0396001 37.213 0.0204124
5115 5 5 0 0.316228 80.795 0.0306741 37.2948 0.0158114
5116 8 8 0 0.25 80.795 0.02425 37.3949 0.0125
5120 0 1 -1 0 80.795 0.097 36.9268 0.05
5121 5 9 -0.285714 0.25612 80.795 0.0259243 36.4223 0.0133631
5122 5 4 0.111111 0.331269 80.795 0.0323333 36.1661 0.0166667
5124 3 8 -0.454545 0.268563 80.795 0.0292466 36.3633 0.0150756
5126 1 4 -0.6 0.357771 80.795 0.0433797 36.6179 0.0223607
5127 10 6 0.25 0.242061 80.795 0.02425 37.0012 0.0125
5129 5 3 0.25 0.342327 80.795 0.0342947 37.2881 0.0176777
5135 3 1 0.5 0.433013 80.795 0.0485 37.6685 0.025
5140 1 1 0 0.707107 80.795 0.0685894 39.0496 0.0353553
5142 0 2 -1 0 80.795 0.0685894 39.2023 0.0353553
5143 3 0 1 0 80.795 0.056003 39.3136 0.0288675
5145 6 5 0.0909091 0.300263 80.795 0.0292466 39.1083 0.0150756
5146 5 4 0.111111 0.331269 80.795 0.0323333 38.7935 0.0166667
5147 6 7 -0.0769231 0.276528 80.795 0.026903 39.4639 0.0138675
5148 4 3 0.142857 0.374088 80.795 0.0366626 39.1894 0.0188982
5152 6 8 -0.142857 0.26452 80.795 0.0259243 38.8478 0.0133631
5153 6 9 -0.2 0.252982 80.795 0.0250453 38.6903 0.0129099
5154 8 10 -0.111111 0.234243 80.795 0.0228631 38.5287 0.0117851
5155 1 0 1 0 80.795 0.097 38.3816 0.05
5156 1 1 0 0.707107 80.795 0.0685894 38.3127 0.0353553
5164 7 6 0.0769231 0.276528 80.795 0.026903 38.1744 0.0138675
5165 5 2 0.428571 0.341494 80.795 0.0366626 37.8708 0.0188982
5167 3 5 -0.25 0.342327 80.795 0.0342947 37.6248 0.0176777
5176 1 8 -0.777778 0.209513 80.795 0.0323333 36.8571 0.0166667
5183 5 5 0 0.316228 80.795 0.0306741 36.1755 0.0158114
5185 7 4 0.272727 0.290081 80.795 0.0292466 36.0713 0.0150756
5186 8 10 -0.111111 0.234243 80.795 0.0228631 36.5275 0.0117851
5187 2 0 1 0 80.795 0.0685894 -1 0.0353553
5188 1 2 -0.333333 0.544331 80.795 0.056003 -1 0.0288675
5301 7 0 1 0 80.795 0.0366626 36.5005 0.0188982
5302 4 4 0 0.353553 80.795 0.0342947 36.869 0.0176777
5303 5 5 0 0.316228 80.795 0.0306741 34.7913 0.0158114
5315 6 3 0.333333 0.31427 80.795 0.0323333 -1 0.0166667
5316 6 5 0.0909091 0.300263 80.795 0.0292466 -1 0.0150756
5317 3 2 0.2 0.438178 80.795 0.0433797 -1 0.0223607
5318 3 12 -0.6 0.206559 80.795 0.0250453 32.5001 0.0129099
5320 4 2 0.333333 0.3849 80.795 0.0396001 33.2217 0.0204124
5321 4 1 0.6 0.357771 80.795 0.0433797 33.7156 0.0223607
5322 6 5 0.0909091 0.300263 80.795 0.0292466 34.3986 0.0150756
5323 3 7 -0.4 0.289828 80.795 0.0306741 35.1856 0.0158114
5324 12 3 0.6 0.206559 80.795 0.0250453 35.7438 0.0129099
5364 0 1 -1 0 80.795 0.097 -1 0.05
5378 6 7 -0.0769231 0.276528 80.795 0.026903 40.5022 0.0138675
5379 5 3 0.25 0.342327 80.795 0.0342947 39.728 0.0176777
5380 6 6 0 0.288675 80.795 0.0280015 39.3176 0.0144338
5385 2 0 1 0 80.795 0.0685894 39.3513 0.0353553
5386 1 7 -0.75 0.233854 80.795 0.0342947 39.3823 0.0176777
5387 3 3 0 0.408248 80.795 0.0396001 -1 0.0204124
5388 4 2 0.333333 0.3849 80.795 0.0396001 -1 0.0204124
5406 0 8 -1 0 80.795 0.0342947 42.2333 0.0176777
5408 7 5 0.166667 0.284638 80.795 0.0280015 41.4891 0.0144338
5409 6 4 0.2 0.309839 80.795 0.0306741 40.8303 0.0158114
5411 3 1 0.5 0.433013 80.795 0.0485 40.57 0.025
5412 2 9 -0.636364 0.232583 80.795 0.0292466 40.8057 0.0150756
5414 2 1 0.333333 0.544331 80.795 0.056003 40.9681 0.0288675
5416 6 1 0.714286 0.26452 80.795 0.0366626 41.1902 0.0188982
5461 2 3 -0.2 0.438178 80.795 0.0433797 39.8273 0.0223607
5462 6 9 -0.2 0.252982 80.795 0.0250453 39.5098 0.0129099
5463 4 5 -0.111111 0.331269 80.795 0.0323333 39.3626 0.0166667
5464 5 6 -0.0909091 0.300263 80.795 0.0292466 39.5016 0.0150756
5465 3 1 0.5 0.433013 80.795 0.0485 39.572 0.025
5466 4 1 0.6 0.357771 80.795 0.0433797 39.5385 0.0223607
5467 4 3 0.142857 0.374088 80.795 0.0366626 39.4237 0.0188982
5468 4 5 -0.111111 0.331269 80.795 0.0323333 39.2583 0.0166667
5469 7 5 0.166667 0.284638 80.795 0.0280015 39.0903 0.0144338
5470 4 10 -0.428571 0.241473 80.795 0.0259243 39.0184 0.0133631
5471 5 4 0.111111 0.331269 80.795 0.0323333 38.9102 0.0166667
