#run  N_plus  N_minus  A_raw  dA_stat
3249 33 40 -0.0958904 0.000186788
3227 29 40 -0.15942 0.000207354
3223 244 259 -0.0298211 3.95067e-06
3214 80 83 -0.0184049 3.76315e-05
3213 137 131 0.0223881 1.39194e-05
2990 52 36 0.181818 0.00012698
2989 141 142 -0.00353357 1.2486e-05
2988 21 24 -0.0666667 0.000492729
2986 26 30 -0.0714286 0.000318063
2729 381 324 0.0808511 2.00538e-06
2985 173 142 0.0984127 1.00292e-05
2728 308 292 0.0266667 2.77679e-06
2770 151 119 0.118519 1.36207e-05
3027 179 127 0.169935 1.05243e-05
2769 310 312 -0.00321543 2.58474e-06
3026 70 67 0.0218978 5.32666e-05
2768 411 388 0.028786 1.56576e-06
3025 66 61 0.0393701 6.19521e-05
2767 465 396 0.0801394 1.3446e-06
3024 43 52 -0.0947368 0.000110305
2766 343 326 0.0254111 2.23361e-06
2763 290 276 0.024735 3.12057e-06
3020 97 95 0.0104167 2.71253e-05
2984 171 175 -0.0115607 8.35254e-06
2727 291 319 -0.0459016 2.68462e-06
2730 128 102 0.113043 1.87824e-05
2983 95 62 0.210191 3.96633e-05
2726 391 352 0.0524899 1.80894e-06
2981 5 5 0 0.01
2724 351 343 0.0115274 2.07612e-06
2725 358 324 0.0498534 2.14729e-06
2723 341 311 0.0460123 2.34987e-06
2976 20 17 0.0810811 0.000728055
2719 327 319 0.0123839 2.39608e-06
2722 400 317 0.11576 1.93211e-06
2721 375 345 0.0416667 1.92734e-06
2974 78 68 0.0684932 4.68029e-05
2717 392 351 0.0551817 1.80867e-06
2720 323 319 0.00623053 2.42617e-06
2973 52 53 -0.00952381 9.06988e-05
2716 382 433 -0.0625767 1.50256e-06
2718 378 413 -0.0442478 1.59669e-06
2971 7 4 0.272727 0.00795117
2714 388 384 0.00518135 1.67787e-06
2970 46 40 0.0697674 0.000134879
2713 88 83 0.0292398 3.41839e-05
2715 327 278 0.0809917 2.72308e-06
2968 93 70 0.141104 3.72613e-05
2711 501 435 0.0705128 1.13859e-06
2967 40 32 0.111111 0.000191707
2710 90 83 0.0404624 3.3385e-05
2966 64 67 -0.0229008 5.82564e-05
3250 28 19 0.191489 0.000444316
2709 231 260 -0.0590631 4.14074e-06
2712 409 404 0.00615006 1.5129e-06
2964 50 48 0.0204082 0.000104102
3248 129 181 -0.167742 1.02584e-05
2707 267 265 0.0037594 3.53324e-06
3247 194 183 0.0291777 7.03287e-06
2706 526 483 0.0426165 9.81348e-07
2959 40 48 -0.0909091 0.000128598
3243 113 124 -0.0464135 1.77842e-05
2702 476 495 -0.0195675 1.06042e-06
