#run A_phys dA_stat
2613 0.144347 0.626641
2614 2.04212 0.857473
2615 -0.649848 0.596493
2616 -0.69951 0.699299
2617 -0.194208 0.6855
2618 0.490777 0.525559
2619 0.609781 0.660717
2620 0.256798 0.575185
2621 0.165523 0.658361
2622 0.574058 0.694286
2623 2.16258 0.705942
2624 0.360373 0.609655
2625 -0.572326 0.595301
2626 0.129724 0.590298
2627 -0.215996 0.593134
2628 -0.588864 0.64432
2629 -0.266223 0.570458
2630 2.14594 1.71589
2631 0.77689 0.542891
2632 1.23733 0.85222
2633 0.914085 0.603376
2634 -0.698365 1.04493
2635 0.126806 0.456766
2637 1.25274 0.538304
2638 -0.401914 0.681533
2646 -0.244033 0.615894
2647 -0.529576 0.598118
2648 -0.529927 0.648115
2649 -0.987483 1.07373
2650 0.550144 0.579134
2651 -0.222355 0.586562
2659 -0.00715913 0.630976
2660 0.165143 0.644392
2661 0.461141 0.611749
2662 -1.91224 0.934167
2667 0.696779 0.555936
2668 -0.00733076 0.588123
2669 0.382158 0.616314
2670 1.15094 0.544995
2671 0.942782 0.586841
2674 1.00963 0.631441
2676 -1.44682 0.584135
2677 -0.384525 0.678026
2678 -0.00729057 2.4468
2679 1.27095 0.585102
2680 -0.164328 0.618077
2681 0.619798 0.612003
2683 0.848034 0.818111
2684 -0.464529 0.66288
2685 1.08175 0.675296
2687 -0.187154 0.660603
2688 1.55208 0.632485
2689 0.435431 0.653893
2690 -0.941673 0.698603
2691 -0.146776 0.583342
2692 -0.503258 0.58552
2693 -0.706822 0.692353
2694 -0.64408 0.582722
2695 0.782656 0.516238
2696 -0.973312 0.748348
2697 -0.298501 0.590623
2698 0.717929 0.582239
2699 0.450154 0.555545
2700 0.941632 0.489908
2701 -0.00703848 0.631326
2702 0.981363 0.511602
2703 0.190996 0.555561
2704 -0.00694582 0.582776
2705 1.00259 0.668312
2706 0.654908 0.522528
2707 0.835174 0.686574
2709 -1.71005 0.697178
2710 -2.11211 1.24384
2711 0.156923 0.503196
2712 0.800327 0.529639
2713 1.54833 1.46633
2714 -0.377253 0.585983
2715 0.855905 0.623094
2716 0.552215 0.534162
2717 0.813785 0.555131
2718 -0.40881 0.51477
2719 1.01043 0.56727
2720 -0.260536 0.626003
2721 0.697425 0.56561
2722 1.15543 0.562723
2723 0.18934 0.550746
2724 0.920991 0.563835
2725 0.360638 0.581608
2726 0.264603 0.499713
2727 -0.0794353 0.576325
2728 1.65622 0.544735
2729 1.30062 0.547251
2730 1.33789 0.956019
2763 1.64761 0.620022
2764 -0.641348 0.710659
2765 0.76427 0.712921
2766 1.1673 0.607757
2767 0.154577 0.501999
2768 0.37605 0.596271
2769 0.95921 0.625578
2770 1.41473 1.32066
2959 0.807997 0.984812
2964 0.564119 1.19395
2966 -0.131355 0.90023
2967 1.16387 1.08648
2968 1.31521 0.626218
2970 -1.89316 0.927982
2971 2.77728 2.41238
2973 -0.313335 0.914041
2974 1.60019 0.705481
2976 -1.81988 1.47931
2981 -5.45086 0
2983 -0.10729 0.735305
2984 0.398905 0.496138
2985 0.263404 0.545193
2986 -0.297285 1.25842
2988 -0.431113 1.52035
2989 -0.48528 0.50752
2990 1.23476 1.02766
2995 0.277447 0.502647
2996 -1.82618 1.71409
2997 -2.94975 1.25884
2998 -0.443271 0.871923
2999 0.762847 0.853863
3000 -0.899979 1.36001
3001 -0.454241 1.92282
3003 1.65816 1.49423
3004 1.30349 0.707825
3005 0.593233 0.812415
3006 -0.420117 0.955189
3007 1.08873 0.566492
3008 1.90711 0.802248
3009 1.4995 0.869217
3011 -0.819547 0.707977
3013 -1.31681 0.92697
3014 0.402837 0.671031
3016 -0.715608 0.690476
3017 -0.280159 0.859229
3018 -0.920286 0.727232
3019 -1.19695 0.869436
3020 -0.772211 0.667086
3021 -0.433851 0.750513
3022 -0.415084 1.46382
3024 -0.66124 0.916872
3025 -0.0077386 0.734588
3026 1.70616 0.776207
3027 0.943119 0.472878
3028 1.04186 0.485382
3029 0.124698 0.82651
3030 -0.178274 0.542072
3035 0.342212 0.486583
3036 -0.122578 0.555211
3037 -1.29057 1.14167
3038 0.356044 0.465434
3039 -1.2506 0.908403
3043 -0.340525 0.508268
3045 0.244343 0.439553
3046 0.388579 0.726517
3047 0.205854 1.06823
3048 0.845219 0.483563
3049 1.00868 0.451149
3050 0.602624 0.466527
3051 -0.819182 0.488051
3052 -0.176958 0.675293
3054 0.762494 1.00886
3055 -0.447111 0.88727
3058 0.330187 0.607874
3059 -0.285753 0.709894
3061 -0.263087 0.825698
3062 0.639521 0.692942
3063 0.211745 0.615917
3064 -0.372616 0.556125
3065 0.696504 0.538746
3068 -0.748344 0.604266
3069 -2.52367 0.97451
3075 0.554232 0.696958
3076 -0.519266 0.727037
3077 -0.28801 0.454152
3079 -0.213622 0.456708
3080 0.0777348 0.654537
3082 -0.236239 0.535892
3089 0.474161 0.467416
3090 0.305694 0.562781
3091 0.458023 0.51267
3092 0.685553 0.455438
3093 1.08249 0.821233
3108 -0.494496 0.637546
3109 0.266772 0.630277
3110 1.20906 0.621632
3111 0.500024 1.18726
3112 -1.16168 0.566351
3113 -0.232496 0.638443
3114 2.14951 0.494356
3115 -0.163503 0.525986
3116 -0.253084 0.658174
3117 0.549391 0.603909
3118 0.0736531 0.657402
3119 -0.00794509 0.739545
3120 -1.62608 0.644482
3121 1.8722 0.747268
3122 0.532022 0.600788
3123 -0.285911 0.546634
3124 1.33772 0.696486
3126 0.117118 0.580071
3127 -2.30836 0.916486
3134 0.0393836 0.503381
3135 0.652629 0.516676
3136 0.141161 0.513839
3138 0.18137 0.70771
3139 0.841069 0.932932
3140 1.04136 0.868802
3141 -0.978742 0.572482
3149 0.745025 1.9715
3150 -1.76537 2.0294
3151 1.75408 0.643374
3152 0.496602 0.543942
3158 -3.19412 1.0969
3159 -0.00812564 0.485892
3160 0.729297 0.571031
3161 0.282337 0.511506
3162 -0.640184 0.582194
3163 -0.00815711 0.531804
3164 -0.214484 0.530716
3165 -0.00809617 0.726197
3166 -0.839636 0.539467
3167 0.46745 0.601315
3171 -0.00795825 0.890297
3174 -0.138425 0.590492
3176 0.643967 0.561284
3177 0.174122 0.572552
3178 -0.0615975 0.538055
3179 0.697942 0.559495
3180 0.428014 0.579199
3181 -1.36407 1.85677
3182 0.709895 0.589389
3183 -0.150212 0.619461
3184 1.04065 0.623469
3185 0.144933 0.639392
3186 -0.549459 0.754212
3188 0.142308 0.62781
3190 -0.00783621 0.531324
3191 0.847389 0.558937
3192 0.375086 0.576311
3193 0.218965 0.768167
3194 0.855214 0.508141
3195 -0.132151 0.466842
3196 0.472704 0.529103
3197 0.995797 0.583904
3198 -0.00789915 0.53021
3199 0.562374 0.500065
3200 -0.0546482 0.500299
3201 0.0397524 0.508094
3202 1.56929 0.527956
3203 1.78879 1.10902
3204 0.450707 0.520308
3205 0.323931 0.503073
3212 2.06033 1.37677
3213 0.94103 0.641932
3214 -0.345386 0.95229
3215 0.806965 0.503845
3217 -0.280751 0.497125
3218 1.35878 1.32352
3219 0.722325 0.479867
3220 -0.840978 0.458734
3221 -0.265915 0.834573
3222 0.992725 0.402981
3223 0.451031 0.492478
3224 0.905774 0.969311
3225 0.0821142 0.488903
3226 -0.214379 0.468598
3227 -1.24075 1.44164
3228 -0.0590058 0.522817
3229 0.126731 0.489611
3230 0.509917 0.520418
3231 0.0988981 0.746645
3239 1.09016 1.13499
3240 -0.447865 0.602951
3241 1.02976 0.578233
3242 -0.376989 0.612068
3243 0.112325 0.786766
3244 1.20921 0.654752
3245 0.558873 0.605776
3246 -0.315876 0.732094
3247 1.30054 0.566526
3248 0.098943 0.746984
3249 -0.409336 1.44355
3250 0.970574 1.67252
