#run A_phys dA_stat
3510 5.09676 0
3511 -0.00276354 3.60557
3512 5.09521 0
3514 5.09387 0
3515 5.09236 0
3517 -1.17824 1.37461
3518 0.56295 1.68662
3519 2.69149 1.04714
3520 -1.69826 1.38437
3521 -0.729202 1.90229
3523 0.56211 1.6841
3524 0.335947 1.30886
3525 -1.69546 1.38209
3526 -3.04833 1.81603
3552 -0.0026489 1.99532
3553 -0.00273385 1.78341
3554 5.1513 0
3555 0.740318 1.37602
3556 -0.874415 1.48851
3557 2.01762 1.3449
3558 1.7555 1.17224
3559 -0.00286138 1.8666
3560 0.47567 1.58051
3561 1.0492 1.62984
3562 1.20136 1.40819
3578 2.60947 1.30615
3579 0.521562 1.16673
3580 -0.587916 1.23342
3581 -1.44514 1.53405
3582 1.7451 2.85438
3583 -5.21311 0
3588 2.58457 1.58444
3589 -1.97662 1.21982
3590 -0.414759 1.48057
3591 1.28037 1.14233
3592 -0.00291356 1.55187
3593 -0.285184 1.22871
3594 1.77932 1.18815
3595 -2.00332 1.2363
3596 -2.66557 2.30596
3671 4.8421 0
3672 3.26977 1.49365
3673 1.37468 1.46507
3694 -3.30008 1.22119
3695 -2.59762 1.29466
3696 -0.00256436 3.34569
3697 0.67248 1.76767
3698 4.71462 0
3701 -1.8935 1.37012
3702 -0.529832 0.907585
3703 -1.9378 0.991482
3704 0.323732 1.26127
3705 -0.870524 1.17403
3706 4.92677 0
3708 2.44496 2.1197
3709 1.45529 1.03662
3710 1.14578 1.02225
3711 -2.07812 1.16941
3712 -0.00267718 1.32018
3713 -0.00269529 1.17217
3714 1.85435 1.14768
3715 -0.355381 0.930787
3716 -0.262554 1.13121
3717 1.37358 0.943712
3718 -3.23184 1.47392
3719 -1.86326 1.23851
3720 4.82092 0
3721 4.80428 0
3722 2.35319 1.44259
3723 2.01265 1.60575
3729 0.369198 1.33663
3730 1.5696 2.56733
3731 -0.957608 2.09234
3732 1.46831 1.04589
3733 -0.982935 2.14768
3734 0.285006 1.18399
3737 3.09949 1.13379
3738 -1.62716 1.53161
3739 2.0901 1.17913
3740 -0.446493 1.0366
3741 -0.327669 1.25602
3742 -0.00262663 2.42321
3747 4.81188 0
3748 -0.00255575 1.2603
3749 3.02115 1.10513
3750 -0.681204 1.77707
3752 1.25747 1.05978
3753 -1.60925 1.85519
3754 1.2063 1.65538
3755 0.811155 1.38983
3756 1.44424 1.14037
