#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
5046 1 0 1 0 80.795 0.097 40.939 2.36315
5048 4 6 -0.2 0.309839 80.795 0.097 40.0613 2.89511
5049 1 1 0 0.707107 80.795 0.097 39.8039 3.24722
5053 4 2 0.333333 0.3849 80.795 0.097 39.6974 3.54229
5054 1 1 0 0.707107 80.795 0.097 39.7456 3.68192
5090 5 2 0.428571 0.341494 80.795 0.097 39.8754 3.40804
5091 5 6 -0.0909091 0.300263 80.795 0.097 38.717 2.4574
5093 3 5 -0.25 0.342327 80.795 0.097 37.6707 2.18123
5094 0 3 -1 0 80.795 0.097 37.6239 2.17675
5095 8 7 0.0666667 0.257624 80.795 0.097 37.6723 2.09344
5099 0 3 -1 0 80.795 0.097 37.778 2.6293
5100 2 2 0 0.5 80.795 0.097 37.8871 3.07771
5101 2 0 1 0 80.795 0.097 38.0071 3.56919
5103 0 1 -1 0 80.795 0.097 38.245 4.55405
5107 6 2 0.5 0.306186 80.795 0.097 35.6598 2.92008
5108 2 3 -0.2 0.438178 80.795 0.097 36.3628 2.28445
5110 3 2 0.2 0.438178 80.795 0.097 36.7972 2.01479
5112 4 1 0.6 0.357771 80.795 0.097 37.0283 2.04507
5113 4 5 -0.111111 0.331269 80.795 0.097 37.175 2.13869
5114 2 2 0 0.5 80.795 0.097 37.2078 2.20251
5115 1 4 -0.6 0.357771 80.795 0.097 37.279 2.26887
5116 6 5 0.0909091 0.300263 80.795 0.097 37.4007 2.31596
5121 0 3 -1 0 80.795 0.097 36.3517 2.23613
5122 2 2 0 0.5 80.795 0.097 36.1571 2.19207
5124 2 5 -0.428571 0.341494 80.795 0.097 36.3662 2.13752
5126 1 0 1 0 80.795 0.097 36.6688 2.05843
5127 8 1 0.777778 0.209513 80.795 0.097 36.9735 2.9847
5129 4 1 0.6 0.357771 80.795 0.097 37.274 3.9761
5135 1 1 0 0.707107 80.795 0.097 37.7122 5.46923
5140 1 0 1 0 80.795 0.097 39.0232 2.4179
5142 0 1 -1 0 80.795 0.097 39.208 2.46087
5143 3 0 1 0 80.795 0.097 39.3136 2.48543
5145 2 2 0 0.5 80.795 0.097 39.0863 2.34275
5146 4 2 0.333333 0.3849 80.795 0.097 38.7672 2.01111
5147 3 5 -0.25 0.342327 80.795 0.097 39.4725 2.21795
5148 2 2 0 0.5 80.795 0.097 39.1701 1.89943
5152 2 6 -0.5 0.306186 80.795 0.097 38.8509 2.3094
5153 3 6 -0.333333 0.31427 80.795 0.097 38.6948 2.78132
5154 4 5 -0.111111 0.331269 80.795 0.097 38.5577 2.94627
5155 1 0 1 0 80.795 0.097 38.3816 3.02543
5156 1 1 0 0.707107 80.795 0.097 38.3127 2.98655
5164 4 4 0 0.353553 80.795 0.097 38.1671 1.88494
5165 3 1 0.5 0.433013 80.795 0.097 37.8603 1.87311
5167 1 2 -0.333333 0.544331 80.795 0.097 37.6665 2.8264
5183 2 3 -0.2 0.438178 80.795 0.097 36.1992 4.01619
5185 5 3 0.25 0.342327 80.795 0.097 36.078 2.20799
5186 6 7 -0.0769231 0.276528 80.795 0.097 36.5107 2.2232
5301 1 0 1 0 80.795 0.097 36.4634 1.81926
5302 3 3 0 0.408248 80.795 0.097 36.8841 1.85216
5303 3 1 0.5 0.433013 80.795 0.097 34.6345 1.75804
5318 2 5 -0.428571 0.341494 80.795 0.097 32.5379 1.5127
5320 2 2 0 0.5 80.795 0.097 33.2431 1.665
5321 3 1 0.5 0.433013 80.795 0.097 33.6872 1.45904
5322 3 3 0 0.408248 80.795 0.097 34.4569 1.72532
5323 2 5 -0.428571 0.341494 80.795 0.097 35.2509 1.64153
5324 6 1 0.714286 0.26452 80.795 0.097 35.7093 1.66786
