#run A_phys dA_stat
5045 -0.0124407 5.33409
5046 -0.012446 5.33639
5047 -1.53334 3.3319
5048 -0.605254 1.50624
5049 2.57402 4.22426
5053 -1.56907 2.41092
5054 -0.0128112 3.17135
5086 -0.0127446 3.86391
5090 -0.0128896 1.95394
5091 0.671348 1.34492
5093 -2.42601 1.90139
5094 -1.18658 3.07175
5095 0.68998 1.38225
5099 -3.28332 2.36923
5100 2.20948 2.36437
5101 1.14792 3.04108
5102 -1.16789 3.02334
5103 0.454998 1.92678
5104 -3.33375 2.64622
5105 -1.1003 2.84838
5106 -2.52109 4.09666
5107 0.332848 1.73442
5108 0.594437 1.60579
5109 2.8001 4.59528
5110 -0.0138396 2.09795
5112 1.65448 2.58442
5113 -0.937277 1.94706
5114 -1.67455 2.10084
5115 0.906664 1.94022
5116 -0.372806 1.72094
5121 0.929168 1.6235
5122 -1.23372 2.25834
5124 -2.5614 1.81126
5126 -1.21855 2.23057
5127 2.55347 1.55692
5129 4.12954 2.0716
5135 4.08983 3.55362
5140 2.62386 4.30605
5142 -7.89213 0
5143 2.61981 3.04014
5145 3.57494 2.11991
5146 1.31645 2.27074
5147 -1.96957 1.89452
5148 1.30137 2.24473
5152 -1.6032 1.55796
5153 0.407709 1.83211
5154 -0.0132279 1.63726
5155 -8.05629 0
5156 -1.6259 3.53304
5164 1.41441 1.93146
5165 -0.926456 2.72176
5167 -0.0135328 1.93411
5176 0.385156 1.82625
5183 -2.52833 1.98159
5185 1.05573 2.1229
5186 0.353215 1.75908
5187 -94.9345 -155.798
5188 0.472029 -143.11
5301 6.56142 1.77123
5302 1.18575 2.22123
5303 -1.12296 2.1993
5315 26.492 -85.9412
5316 36.2495 -70.9937
5317 -214.193 -66.9337
5318 -3.93344 2.1029
5320 0.830253 2.7929
5321 9.13984 0
5322 -0.0148454 2.59857
5323 1.44906 2.49948
5324 6.46973 1.42958
5364 -94.9345 -155.798
5378 -1.77489 2.06086
5379 -1.1251 2.05952
5380 2.60611 2.13846
5385 7.83809 0
5386 -3.90461 1.94589
5387 -71.0829 -97.9808
5388 0.472029 -101.194
5406 -3.68217 1.83503
5407 -7.37181 0
5408 1.47639 1.63076
5409 -2.93753 1.94699
5411 -0.0125599 3.10914
5412 -4.83073 1.76101
5414 7.5308 0
5416 1.23924 2.13755
5449 7.76953 0
5453 7.72277 0
5460 7.69032 0
5461 -0.0127899 3.87766
5462 -1.40133 1.87816
5463 -1.97529 2.68705
5464 -0.012899 2.47336
5465 3.88989 3.37989
5466 2.59072 2.4547
5467 2.59929 2.46282
5468 1.74253 1.8155
5469 5.45795 1.58159
5470 -3.71135 1.80973
5471 -0.480008 1.92182
5472 1.58301 1.74852
5476 1.58657 2.02355
5477 0.785147 1.77613
5478 1.12438 2.97871
5479 -2.67176 4.34149
5480 -0.484105 1.93822
5481 1.59732 2.03726
5482 8.05793 0
5483 -0.931117 1.93426
5484 1.11854 1.79554
5485 -2.10628 2.44563
5486 -109.612 -73.2766
5494 -1.37482 2.32495
5495 -1.3672 2.31206
5496 -2.71464 4.41116
5497 -8.05674 0
5499 1.13379 3.00364
5501 -5.33778 2.43034
5502 1.98998 1.93958
5503 -0.683353 2.21683
5504 0.548883 1.8464
5505 0.363139 1.43889
5506 -0.839509 1.83749
5507 0.896851 1.91922
5508 -0.690501 1.65278
5511 0.797861 1.80489
5512 0.717339 1.7063
5513 -1.03153 1.61451
5514 -3.24194 1.73321
5515 -0.0129417 1.60183
5517 -1.13627 2.9415
5518 3.13508 2.28099
5519 29.094 -63.6799
5523 152 -58.8923
5524 -0.548608 2.06884
5525 1.77557 1.84992
