#run A_phys dA_stat
5045 -0.00733619 5.28522
5046 -0.00733936 5.2875
5047 -3.76968 3.25825
5048 -0.923435 1.51554
5049 7.68279 0
5053 -0.00756775 2.22579
5054 -2.57333 2.9627
5086 -0.00751555 3.12602
5090 1.71416 1.78054
5091 0.7848 1.24689
5093 -2.39847 1.88406
5094 -0.00798526 2.87641
5095 1.03465 1.2915
5099 -0.0079508 2.56164
5100 2.19463 2.34271
5101 -0.00790583 3.28836
5102 -0.89808 2.65411
5103 -0.0077429 1.85941
5104 -2.56352 2.40982
5105 -0.00740223 3.07889
5106 -0.00730046 3.71901
5107 0.707624 1.74787
5108 0.641394 1.65147
5109 2.78003 4.55318
5110 -0.931905 1.94743
5112 1.17232 2.18573
5113 -0.00808394 1.84169
5114 -1.46006 1.96424
5115 -0.754167 1.74254
5116 -0.690078 1.66485
5121 1.00158 1.6709
5122 -0.572172 2.179
5124 -1.53821 1.76413
5126 -0.00819687 2.41082
5127 2.74912 1.59189
5129 3.72385 2.20496
5135 2.70355 4.42792
5140 2.60505 4.26659
5142 -7.81461 0
5143 1.55815 3.43058
5145 1.79819 2.1118
5146 0.980935 1.96189
5147 -0.977305 1.92417
5148 1.79605 2.1093
5152 -2.04998 1.46415
5153 -0.00777697 1.86759
5154 -0.353384 1.65578
5155 -0.00782492 5.63731
5156 -1.14908 2.98846
5164 2.66389 1.78117
5165 -2.04091 2.78371
5167 1.27544 1.84138
5176 -1.04553 2.05849
5183 -3.77379 1.78888
5185 1.8765 1.94917
5186 -0.372228 1.74408
5187 -94.254 -154.371
5188 0.278353 -141.799
5301 5.02093 2.12048
5302 1.03185 2.06372
5303 -2.03506 2.36974
5315 26.0599 -85.1538
5316 0.278353 -70.8994
5317 -121.263 -96.8468
5318 -4.72379 2.04145
5320 -0.846911 2.76738
5321 6.79228 2.12064
5322 2.95956 2.42361
5323 -0.00854427 2.51299
5324 6.84304 1.14902
5364 0.278353 -141.799
5378 -1.52045 1.91384
5379 -0.00759667 2.23429
5380 0.5114 2.00576
5385 7.77147 0
5386 -4.63505 1.95112
5387 -94.254 -89.1262
