#run A_phys dA_stat
2033 20.9327 -17.2193
2035 -5.40377 -14.9855
2042 1.63619 -5.03003
2046 9.63143 -11.6874
2131 0.595331 0.35188
2141 0.438735 0.190633
2143 -0.0967982 0.301611
2146 -0.0523899 0.1768
2164 0.129113 0.0910199
2165 0.190725 0.161933
2168 0.259656 0.0793866
2169 0.75724 0.75268
2170 0.242616 0.0846912
2171 0.075444 0.166636
2172 0.124132 0.0889418
2173 0.119577 0.110829
2174 0.285768 0.0949376
2175 0.148994 0.0878108
2176 0.185117 0.155298
2199 0.200617 0.10885
2200 0.000126705 0.0894513
2201 0.116476 0.15902
2203 0.140073 0.0938991
2204 0.15463 0.0922889
2206 0.226227 0.106292
2208 0.118273 0.154864
2209 0.217273 0.108763
2210 0.157996 0.0967376
2211 0.503641 0.438738
2212 0.30473 0.0818102
2213 0.322815 0.0903834
2214 0.215124 0.0898322
2215 0.25314 0.13483
2216 0.179386 0.082852
2217 0.108776 0.0873346
2218 -0.331113 0.402791
2219 0.302484 0.0790914
2220 0.523801 0.145263
2221 0.17523 0.0975645
2222 0.107049 0.0938863
2223 0.356166 0.105962
2224 0.209933 0.0924737
2225 0.294223 0.123975
2226 0.0731758 0.10266
2227 0.132759 0.354253
2228 0.150678 0.0741036
2229 0.208643 0.0750759
2230 0.0590141 0.102539
2231 0.225139 0.0987637
2232 0.143412 0.0962164
2233 0.204824 0.100664
2234 0.16675 0.0948675
2235 0.39372 0.141978
2236 0.197837 0.0952795
2237 0.0591538 0.0846614
2238 0.533278 0.104358
2239 0.180703 0.0949619
2240 0.0936567 0.119243
2241 0.286232 0.102896
2242 0.201278 0.101104
2243 -0.121418 0.182539
2244 0.225131 0.090858
2245 0.241695 0.108573
2246 0.259479 0.0934492
2247 0.105216 0.251106
2248 -0.0600587 0.137575
2250 0.306551 0.113878
2251 0.199728 0.476221
2252 0.110977 0.0919985
2253 0.192643 0.0991906
2254 0.131757 0.101461
2255 0.133768 0.095236
2256 0.155381 0.0929706
2257 0.0515929 0.102308
2258 0.103663 0.0881803
2259 0.209466 0.0889957
2260 0.114196 0.155284
2275 0.368756 0.184717
2276 0.0219501 0.115884
2302 -0.939468 0.584319
2303 0.227978 0.154674
2304 0.46619 0.146314
2305 0.419058 0.20514
2306 0.0723932 0.364323
2307 0.247623 0.190603
2309 0.159504 0.145008
2310 0.290416 0.27723
2313 0.200697 0.128264
2314 0.228271 0.126483
2316 0.226223 0.103645
2318 0.171941 0.0986594
2319 0.376535 0.104444
2320 0.0601119 0.255317
2321 0.178431 0.114686
2322 0.115475 0.117065
2323 0.0472121 0.1313
