#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
5044 1 0 1 0 80.795 0.097 37.9631 2.97096
5045 1 1 0 0.707107 80.795 0.097 37.9424 2.94468
5046 1 1 0 0.707107 80.795 0.097 37.926 2.95895
5047 2 5 -0.428571 0.341494 80.795 0.097 37.6466 3.14807
5048 13 17 -0.133333 0.180944 80.795 0.097 37.1633 3.47811
5049 2 2 0 0.5 80.795 0.097 36.886 3.67841
5053 5 7 -0.166667 0.284638 80.795 0.097 36.7822 3.96099
5054 3 4 -0.142857 0.374088 80.795 0.097 36.8471 4.04905
5086 2 3 -0.2 0.438178 80.795 0.097 37.0365 4.36562
5090 8 9 -0.0588235 0.242116 80.795 0.097 36.6251 3.80345
5091 25 19 0.136364 0.149347 80.795 0.097 35.8055 3.10519
5093 6 16 -0.454545 0.189903 80.795 0.097 34.8943 2.72762
5094 5 4 0.111111 0.331269 80.795 0.097 34.8566 2.72424
5095 21 19 0.05 0.157916 80.795 0.097 34.8723 2.7792
5099 3 8 -0.454545 0.268563 80.795 0.097 35.0155 3.1638
5100 8 5 0.230769 0.269864 80.795 0.097 35.1186 3.59193
5101 4 3 0.142857 0.374088 80.795 0.097 35.2084 3.94817
5102 5 4 0.111111 0.331269 80.795 0.097 35.4265 4.32514
5103 11 9 0.1 0.222486 80.795 0.097 35.9379 7.17083
5104 4 6 -0.2 0.309839 80.795 0.097 36.903 11.4883
5105 3 5 -0.25 0.342327 80.795 0.097 37.5962 14.4981
5106 4 3 0.142857 0.374088 80.795 0.097 38.0709 16.5351
5107 16 15 0.0322581 0.179512 80.795 0.097 32.9658 3.37377
5108 20 14 0.176471 0.168807 80.795 0.097 33.612 2.85097
5109 2 1 0.333333 0.544331 80.795 0.097 33.904 2.61121
5110 11 8 0.157895 0.226538 80.795 0.097 34.1067 2.5739
5112 7 7 0 0.267261 80.795 0.097 34.3143 2.60215
5113 10 10 0 0.223607 80.795 0.097 34.4338 2.67019
5114 9 9 0 0.235702 80.795 0.097 34.4676 2.73999
5115 10 13 -0.130435 0.206733 80.795 0.097 34.5519 2.79414
5116 14 17 -0.0967742 0.178762 80.795 0.097 34.6501 2.82778
5121 17 13 0.133333 0.180944 80.795 0.097 33.7356 2.75532
5122 7 9 -0.125 0.248039 80.795 0.097 33.5241 2.69186
5124 9 12 -0.142857 0.21598 80.795 0.097 33.7084 2.65636
5126 7 8 -0.0666667 0.257624 80.795 0.097 33.9513 2.61221
5127 19 9 0.357143 0.176519 80.795 0.097 34.3113 3.5573
5129 9 4 0.384615 0.256015 80.795 0.097 34.5427 4.41466
5135 6 2 0.5 0.306186 80.795 0.097 34.8793 5.51993
5140 3 1 0.5 0.433013 80.795 0.097 36.1743 2.95854
5142 0 2 -1 0 80.795 0.097 36.3263 2.99396
5143 4 2 0.333333 0.3849 80.795 0.097 36.2372 3.01669
5145 10 5 0.333333 0.243432 80.795 0.097 36.2408 2.91101
