#run A_phys dA_stat
5044 8.92097 0
5045 -0.0216543 6.32683
5046 -0.0216637 6.32957
5047 -3.88659 3.07952
5048 -1.24011 1.65294
5049 -0.0222745 4.60187
5053 -1.56063 2.62713
5054 -1.33851 3.44664
5086 -1.85545 4.01649
5090 -0.567686 2.24425
5091 1.26999 1.41603
5093 -4.44585 1.84758
5094 1.0586 3.22643
5095 0.4632 1.53735
5099 -4.43046 2.60383
5100 2.20743 2.60876
5101 1.35413 3.60706
5102 1.04158 3.17452
5103 0.921793 2.10173
5104 -1.86216 2.85036
5105 -2.27932 3.09117
5106 1.25232 3.33585
5107 0.307278 1.84865
5108 1.75796 1.70499
5109 3.31351 5.45052
5110 1.54756 2.2549
5112 -0.0239438 2.64415
5113 -0.0238608 2.20458
5114 -0.0238374 2.32155
5115 -1.30537 2.03125
5116 -0.971871 1.75145
5121 1.31741 1.82088
5122 -1.29035 2.51182
5124 -1.46314 2.17521
5126 -0.69082 2.57606
5127 3.50976 1.74655
5129 3.75625 2.51614
5135 4.84307 2.98019
5140 4.6697 4.06375
5142 -9.36817 0
5143 3.10017 3.60595
5145 3.09986 2.28037
5146 -0.653981 2.43869
5147 -3.11672 2.06283
5148 -1.19256 2.32147
5152 -1.6485 1.72469
5153 0.356422 1.89536
5154 -0.0230274 1.79813
5155 -9.56563 0
5156 -4.80529 2.92845
5164 1.34791 2.07298
5165 -1.6471 2.7727
5167 0.861214 2.06637
5176 0.373169 1.98442
5183 -2.228 2.06295
5185 0.821603 2.06549
5186 0.746212 1.95845
5187 -338.668 -0
5188 68.7195 -148.757
5301 7.9954 1.90203
5302 0.639852 2.56576
5303 -0.644758 2.54894
5315 -124.253 -72.4056
5316 54.4253 -76.9072
5317 -187.784 -94.0928
5318 -5.37198 2.27972
5320 1.35298 2.73773
5321 8.11685 2.53907
5322 -1.55041 2.82298
5323 0.669731 2.68557
5324 7.8194 1.60315
5364 -168.923 -147.003
5378 -2.28511 2.19133
5379 -0.0223623 2.31001
5380 2.12815 2.51506
5385 9.28969 0
5386 -4.99656 2.15896
5387 -36.8994 -112.462
5388 0.821616 -107.356
5406 -4.9945 1.90892
5407 -8.75053 0
5408 1.89884 1.79777
5409 -3.492 2.30988
5411 -0.0218618 3.68779
5412 -3.01567 2.18646
5414 -0.0216382 4.47042
5416 2.94746 2.16826
5449 9.20843 0
5453 9.15301 0
5460 9.11455 0
5461 5.49602 3.29047
5462 -0.955686 2.07602
5463 -1.88406 2.88388
5464 -1.34766 2.45382
5465 4.60671 4.00894
5466 2.50435 2.68756
5467 3.69513 2.69368
5468 3.10058 2.08217
5469 4.35159 2.14052
5470 -4.20056 1.98477
5471 -0.471139 2.05227
5472 1.55505 1.90557
5476 1.70227 1.9893
5477 2.34416 1.87134
5478 1.02643 3.12836
5479 -3.17542 3.64023
5480 -0.972317 2.11215
5481 3.16049 2.1224
5482 1.89158 4.19501
5483 -0.914853 2.08123
5484 0.387294 2.05953
5485 -2.17422 2.35326
5486 -41.6145 -84.2066
5494 -0.0234565 2.42304
5495 -1.62906 2.74233
5496 -3.22805 3.70056
5497 -9.56348 0
5499 1.33746 3.56266
5501 -6.78873 2.50556
5502 2.08924 2.18436
5503 -2.52831 2.2474
5504 0.41632 1.78709
5505 0.923972 1.42099
5506 -1.65709 1.97247
5507 0.311463 1.80281
5508 -1.4001 1.80262
5511 -0.441651 2.0045
5512 -0.0230545 1.86821
