#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
5045 1 1 0 0.707107 80.795 0.097 37.9424 2.94468
5046 1 1 0 0.707107 80.795 0.097 37.926 2.95895
5047 2 3 -0.2 0.438178 80.795 0.097 37.6551 3.13846
5048 11 17 -0.214286 0.184592 80.795 0.097 37.155 3.48385
5049 2 1 0.333333 0.544331 80.795 0.097 36.8818 3.68228
5053 4 7 -0.272727 0.290081 80.795 0.097 36.7837 3.96603
5054 3 3 0 0.408248 80.795 0.097 36.8451 4.04723
5086 2 2 0 0.5 80.795 0.097 37.0376 4.37198
5090 7 9 -0.125 0.248039 80.795 0.097 36.6031 3.77856
5091 20 15 0.142857 0.167297 80.795 0.097 35.8228 3.10944
5093 6 13 -0.368421 0.213278 80.795 0.097 34.8975 2.72828
5094 2 4 -0.333333 0.3849 80.795 0.097 34.8577 2.72556
5095 20 17 0.0810811 0.163858 80.795 0.097 34.8723 2.78044
5099 3 7 -0.4 0.289828 80.795 0.097 35.0133 3.1638
5100 7 5 0.166667 0.284638 80.795 0.097 35.118 3.58907
5101 4 3 0.142857 0.374088 80.795 0.097 35.2084 3.94817
5102 4 4 0 0.353553 80.795 0.097 35.4276 4.32679
5103 11 9 0.1 0.222486 80.795 0.097 35.9379 7.17083
5104 3 5 -0.25 0.342327 80.795 0.097 36.8887 11.4145
5105 2 4 -0.333333 0.3849 80.795 0.097 37.5777 14.4253
5106 4 2 0.333333 0.3849 80.795 0.097 38.0537 16.5351
5107 14 13 0.037037 0.192318 80.795 0.097 32.9641 3.37471
5108 17 13 0.133333 0.180944 80.795 0.097 33.6062 2.84968
5109 2 1 0.333333 0.544331 80.795 0.097 33.904 2.61121
5110 8 8 0 0.25 80.795 0.097 34.1071 2.57365
5112 6 5 0.0909091 0.300263 80.795 0.097 34.3206 2.60281
5113 9 9 0 0.235702 80.795 0.097 34.4329 2.6686
5114 9 8 0.0588235 0.242116 80.795 0.097 34.4682 2.74175
5115 9 12 -0.142857 0.21598 80.795 0.097 34.5505 2.79327
5116 12 16 -0.142857 0.187044 80.795 0.097 34.6499 2.82766
5121 16 13 0.103448 0.184699 80.795 0.097 33.728 2.75448
5122 7 8 -0.0666667 0.257624 80.795 0.097 33.5258 2.69137
5124 7 11 -0.222222 0.229809 80.795 0.097 33.6985 2.65808
5126 6 7 -0.0769231 0.276528 80.795 0.097 33.9505 2.61197
5127 17 9 0.307692 0.186602 80.795 0.097 34.3045 3.54377
5129 8 3 0.454545 0.268563 80.795 0.097 34.5441 4.42512
5135 5 2 0.428571 0.341494 80.795 0.097 34.8706 5.49153
5140 3 1 0.5 0.433013 80.795 0.097 36.1743 2.95854
5142 0 2 -1 0 80.795 0.097 36.3263 2.99396
5143 4 2 0.333333 0.3849 80.795 0.097 36.2372 3.01669
5145 8 3 0.454545 0.268563 80.795 0.097 36.2442 2.91076
5146 7 7 0 0.267261 80.795 0.097 35.874 2.78656
5147 4 11 -0.466667 0.22836 80.795 0.097 36.566 2.80218
5148 7 6 0.0769231 0.276528 80.795 0.097 36.2882 2.77995
5152 10 16 -0.230769 0.190823 80.795 0.097 36.0014 2.98815
5153 11 12 -0.0434783 0.208317 80.795 0.097 35.7906 3.40532
5154 13 13 0 0.196116 80.795 0.097 35.68 3.52176
5155 0 1 -1 0 80.795 0.097 35.5861 3.46951
5156 2 4 -0.333333 0.3849 80.795 0.097 35.4948 3.40316
5164 12 8 0.2 0.219089 80.795 0.097 35.3756 2.73612
5165 4 7 -0.272727 0.290081 80.795 0.097 34.8394 2.71386
5167 11 10 0.047619 0.21797 80.795 0.097 34.8811 3.90852
5176 12 11 0.0434783 0.208317 80.795 0.097 34.1872 7.83709
5183 8 14 -0.272727 0.205119 80.795 0.097 33.4887 4.15006
5185 10 8 0.111111 0.234243 80.795 0.097 33.4314 2.7083
5186 10 12 -0.0909091 0.212318 80.795 0.097 33.8902 2.9141
5187 2 0 1 0 80.795 0.097 -1 -1
5188 2 2 0 0.5 80.795 0.097 -1 -1
5301 8 1 0.777778 0.209513 80.795 0.097 33.856 2.42022
5302 8 6 0.142857 0.26452 80.795 0.097 34.0851 2.44984
5303 7 9 -0.125 0.248039 80.795 0.097 32.2802 2.33003
5315 10 6 0.25 0.242061 80.795 0.097 -1 -1
5316 8 9 -0.0588235 0.242116 80.795 0.097 -1 -1
5317 6 1 0.714286 0.26452 80.795 0.097 -1 -1
5318 5 11 -0.375 0.231756 80.795 0.097 30.0753 2.16
5320 6 6 0 0.288675 80.795 0.097 30.77 2.20355
5321 6 0 1 0 80.795 0.097 31.264 2.2375
5322 6 6 0 0.288675 80.795 0.097 31.7962 2.27647
5323 8 6 0.142857 0.26452 80.795 0.097 32.55 2.33593
5324 12 2 0.714286 0.187044 80.795 0.097 33.086 2.38005
5364 2 1 0.333333 0.544331 80.795 0.097 -1 -1
5378 5 8 -0.230769 0.269864 80.795 0.097 37.5205 2.68174
5379 7 8 -0.0666667 0.257624 80.795 0.097 36.7394 2.64686
5380 8 4 0.333333 0.272166 80.795 0.097 36.4277 2.61645
5385 2 0 1 0 80.795 0.097 36.4563 2.60752
5386 3 10 -0.538462 0.233709 80.795 0.097 36.75 2.59953
5387 5 3 0.25 0.342327 80.795 0.097 -1 -1
5388 5 4 0.111111 0.331269 80.795 0.097 -1 -1
5406 3 9 -0.5 0.25 80.795 0.097 38.9938 2.76522
5407 0 2 -1 0 80.795 0.097 38.8903 2.73993
5408 13 9 0.181818 0.209647 80.795 0.097 38.435 2.70282
5409 4 9 -0.384615 0.256015 80.795 0.097 37.6272 2.64903
5411 3 3 0 0.408248 80.795 0.097 37.5823 2.63191
5412 4 10 -0.428571 0.241473 80.795 0.097 37.7931 2.65193
5414 1 2 -0.333333 0.544331 80.795 0.097 37.968 2.66807
5416 7 4 0.272727 0.290081 80.795 0.097 38.1143 2.68593
5449 1 0 1 0 80.795 0.097 36.778 2.68774
5453 1 0 1 0 80.795 0.097 37.0007 2.64446
5460 1 0 1 0 80.795 0.097 37.1568 2.656
5461 3 1 0.5 0.433013 80.795 0.097 36.9175 2.63805
5462 7 10 -0.176471 0.238729 80.795 0.097 36.3743 2.61415
5463 3 6 -0.333333 0.31427 80.795 0.097 36.4712 2.60252
5464 6 6 0 0.288675 80.795 0.097 36.5948 2.60681
5465 3 1 0.5 0.433013 80.795 0.097 36.6689 2.60922
5466 6 4 0.2 0.309839 80.795 0.097 36.6439 2.60535
5467 4 2 0.333333 0.3849 80.795 0.097 36.518 2.59335
5468 11 6 0.294118 0.231808 80.795 0.097 36.2379 2.57929
5469 11 2 0.692308 0.200137 80.795 0.097 36.2188 2.57802
