#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
2613 35 33 0.0294118 0.121215 86.488 0.08 42.0575 0.764774
2614 21 9 0.4 0.167332 86.488 0.08 42.4292 0.740951
2615 31 40 -0.126761 0.117721 86.488 0.08 42.9096 0.710007
2616 22 29 -0.137255 0.138703 86.488 0.08 43.125 0.756037
2617 26 28 -0.037037 0.135989 86.488 0.08 43.1323 0.763942
2618 50 41 0.0989011 0.104315 86.488 0.08 43.155 0.725716
2619 32 25 0.122807 0.131451 86.488 0.08 43.2568 0.753554
2620 40 36 0.0526316 0.114549 86.488 0.08 43.3002 0.7503
2621 30 28 0.0344828 0.131228 86.488 0.08 43.338 0.77567
2622 29 23 0.115385 0.137749 86.488 0.08 43.1376 0.796977
2623 30 12 0.428571 0.139414 86.488 0.08 42.9382 0.720136
2624 37 32 0.0724638 0.120069 86.488 0.08 42.8206 0.723016
2625 32 40 -0.111111 0.117121 86.488 0.08 42.7764 0.804273
2626 38 36 0.027027 0.116205 86.488 0.08 42.8016 0.745914
2627 35 38 -0.0410959 0.116942 86.488 0.08 42.8671 0.752004
2628 27 34 -0.114754 0.127191 86.488 0.08 42.9201 0.727595
2629 37 41 -0.0512821 0.113079 86.488 0.08 43.0987 0.77154
2630 5 2 0.428571 0.341494 86.488 0.08 43.2713 0.7591
2631 48 35 0.156627 0.10841 86.488 0.08 43.4173 0.696848
2632 20 12 0.25 0.171163 86.488 0.08 43.6681 0.752329
2633 38 26 0.1875 0.122783 86.488 0.08 44.2442 0.759202
2634 9 12 -0.142857 0.21598 86.488 0.08 44.9398 0.773628
2635 54 51 0.0285714 0.0975502 86.488 0.08 46.4345 0.814032
2637 45 26 0.267606 0.11435 86.488 0.08 46.1865 0.805502
2638 22 26 -0.0833333 0.143836 86.488 0.08 45.8867 0.872689
2646 29 32 -0.0491803 0.127882 86.488 0.08 45.145 0.797192
2647 29 36 -0.107692 0.123313 86.488 0.08 44.8258 0.790847
2648 25 31 -0.107143 0.132861 86.488 0.08 44.5709 0.743239
2649 8 12 -0.2 0.219089 86.488 0.08 44.3639 0.653543
2650 39 31 0.114286 0.11874 86.488 0.08 44.5784 0.783253
2651 32 35 -0.0447761 0.122047 86.488 0.08 45.2397 0.763154
2659 29 29 0 0.131306 86.488 0.08 45.2458 0.775637
2660 29 27 0.0357143 0.133545 86.488 0.08 45.0592 0.813631
2661 34 28 0.0967742 0.126404 86.488 0.08 44.9256 0.792217
2662 7 16 -0.391304 0.191888 86.488 0.08 44.6611 0.801973
2667 44 33 0.142857 0.112792 86.488 0.08 44.1123 0.691789
2668 35 35 0 0.119523 86.488 0.08 44.1865 0.742134
2669 34 29 0.0793651 0.125591 86.488 0.08 44.306 0.782755
2670 47 29 0.236842 0.111444 86.488 0.08 44.4601 0.71307
2671 40 27 0.19403 0.119848 86.488 0.08 44.4034 0.750528
2674 35 23 0.206897 0.128465 86.488 0.08 44.2342 0.743023
2676 23 42 -0.292308 0.118617 86.488 0.08 44.1509 0.782826
2677 24 28 -0.0769231 0.138264 86.488 0.08 44.3373 0.796366
2678 2 2 0 0.5 86.488 0.08 44.4301 0.852519
2679 41 24 0.261538 0.119717 86.488 0.08 44.4867 0.72203
2680 30 32 -0.0322581 0.126934 86.488 0.08 44.6521 0.791661
2681 35 27 0.129032 0.125938 86.488 0.08 44.7414 0.753795
2683 20 14 0.176471 0.168807 86.488 0.08 44.8626 0.780299
2684 24 29 -0.0943396 0.136748 86.488 0.08 44.8531 0.722476
2685 30 19 0.22449 0.139211 86.488 0.08 44.8214 0.7779
2687 26 28 -0.037037 0.135989 86.488 0.08 44.7579 0.800594
2688 35 18 0.320755 0.130103 86.488 0.08 44.7243 0.794315
2689 30 25 0.0909091 0.134282 86.488 0.08 44.6496 0.763834
2690 19 28 -0.191489 0.143166 86.488 0.08 44.557 0.729936
2691 34 36 -0.0285714 0.119474 86.488 0.08 44.5304 0.723396
2692 31 38 -0.101449 0.119765 86.488 0.08 44.4728 0.778493
2693 21 28 -0.142857 0.141392 86.488 0.08 44.4021 0.761468
2694 30 39 -0.130435 0.119357 86.488 0.08 44.5341 0.774021
2695 50 36 0.162791 0.106394 86.488 0.08 44.8098 0.734323
2696 16 24 -0.2 0.154919 86.488 0.08 45.0098 0.801654
2697 31 35 -0.0606061 0.122865 86.488 0.08 45.2297 0.74757
2698 38 28 0.151515 0.12167 86.488 0.08 45.4348 0.782398
2699 40 33 0.0958904 0.116502 86.488 0.08 45.5953 0.767468
2700 54 36 0.2 0.10328 86.488 0.08 45.8361 0.734184
2701 28 28 0 0.133631 86.488 0.08 46.0214 0.780915
2702 49 32 0.209877 0.108636 86.488 0.08 46.1687 0.792325
2703 37 34 0.0422535 0.118572 86.488 0.08 46.4041 0.757376
2704 32 32 0 0.125 86.488 0.08 46.6353 0.760158
2705 28 18 0.217391 0.143916 86.488 0.08 46.8205 0.834213
2706 44 33 0.142857 0.112792 86.488 0.08 46.9326 0.793132
2707 26 18 0.181818 0.148243 86.488 0.08 46.9454 0.735557
2709 12 26 -0.368421 0.150811 86.488 0.08 47.0322 0.794564
2710 3 8 -0.454545 0.268563 86.488 0.08 46.9449 0.891511
2711 44 41 0.0352941 0.108398 86.488 0.08 46.8371 0.784251
