#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
5045 1 1 0 0.707107 80.795 0.097 37.9424 2.94468
5046 1 1 0 0.707107 80.795 0.097 37.926 2.95895
5047 1 3 -0.5 0.433013 80.795 0.097 37.6894 3.12241
5048 11 14 -0.12 0.198555 80.795 0.097 37.1548 3.42197
5049 2 0 1 0 80.795 0.097 36.8771 2.60787
5053 0 1 -1 0 80.795 0.097 36.8016 4.01431
5054 0 2 -1 0 80.795 0.097 36.8346 4.04311
5086 2 2 0 0.5 80.795 0.097 37.0351 4.35817
5090 3 3 0 0.408248 80.795 0.097 36.6571 3.82538
5091 9 7 0.125 0.248039 80.795 0.097 35.7033 2.97456
5093 1 2 -0.333333 0.544331 80.795 0.097 34.9016 2.72939
5094 0 1 -1 0 80.795 0.097 34.8588 2.72712
5095 5 6 -0.0909091 0.300263 80.795 0.097 34.8719 2.7715
5099 1 0 1 0 80.795 0.097 35.0416 3.28752
5100 2 2 0 0.5 80.795 0.097 35.1101 3.06234
5101 0 2 -1 0 80.795 0.097 35.2045 3.93203
5102 1 1 0 0.707107 80.795 0.097 35.5166 4.43257
5103 3 3 0 0.408248 80.795 0.097 35.9621 7.38203
5104 0 2 -1 0 80.795 0.097 36.8887 11.3996
5105 2 1 0.333333 0.544331 80.795 0.097 37.6134 11.922
5106 1 1 0 0.707107 80.795 0.097 38.1127 16.7798
5107 3 5 -0.25 0.342327 80.795 0.097 32.9933 3.14856
5108 5 2 0.428571 0.341494 80.795 0.097 33.4622 2.73137
5109 1 0 1 0 80.795 0.097 33.9008 2.61438
5110 2 3 -0.2 0.438178 80.795 0.097 34.117 2.57658
5112 1 2 -0.333333 0.544331 80.795 0.097 34.3142 2.60282
5113 2 4 -0.333333 0.3849 80.795 0.097 34.4347 2.67185
5114 2 4 -0.333333 0.3849 80.795 0.097 34.4738 2.75517
5115 6 8 -0.142857 0.26452 80.795 0.097 34.5459 2.79222
5116 3 6 -0.333333 0.31427 80.795 0.097 34.6415 2.82551
5121 4 2 0.333333 0.3849 80.795 0.097 33.6471 2.74665
5122 4 4 0 0.353553 80.795 0.097 33.5094 2.33455
5124 2 1 0.333333 0.544331 80.795 0.097 33.6918 2.65949
5126 3 3 0 0.408248 80.795 0.097 33.9643 2.60919
5127 4 4 0 0.353553 80.795 0.097 34.2601 3.45912
5129 1 0 1 0 80.795 0.097 34.5593 4.4531
5135 2 1 0.333333 0.544331 80.795 0.097 34.8631 5.45765
5140 1 0 1 0 80.795 0.097 36.1953 2.96342
5142 0 1 -1 0 80.795 0.097 36.321 2.99274
5143 1 0 1 0 80.795 0.097 36.2705 3.01147
5145 2 1 0.333333 0.544331 80.795 0.097 36.3089 2.93407
5146 2 1 0.333333 0.544331 80.795 0.097 35.8473 2.77975
5147 4 2 0.333333 0.3849 80.795 0.097 36.5673 2.80279
5148 3 1 0.5 0.433013 80.795 0.097 36.3279 2.78242
5152 10 17 -0.259259 0.18587 80.795 0.097 36.002 2.74925
5153 9 9 0 0.235702 80.795 0.097 35.7919 3.11175
5154 10 12 -0.0909091 0.212318 80.795 0.097 35.6771 3.52067
5155 1 1 0 0.707107 80.795 0.097 35.5726 3.46193
5156 3 4 -0.142857 0.374088 80.795 0.097 35.5 2.87747
5164 2 2 0 0.5 80.795 0.097 35.3895 2.36858
5165 3 2 0.2 0.438178 80.795 0.097 34.9226 2.71661
5167 5 2 0.428571 0.341494 80.795 0.097 34.8941 3.61688
5176 7 9 -0.125 0.248039 80.795 0.097 34.1722 7.29215
5183 5 13 -0.444444 0.211144 80.795 0.097 33.4734 3.704
5185 11 7 0.222222 0.229809 80.795 0.097 33.4364 2.63577
5186 11 12 -0.0434783 0.208317 80.795 0.097 33.8736 2.64544
5187 2 1 0.333333 0.544331 80.795 0.097 -1 -1
5188 2 2 0 0.5 80.795 0.097 -1 -1
5301 8 2 0.6 0.252982 80.795 0.097 33.8344 2.16294
5302 9 7 0.125 0.248039 80.795 0.097 34.0857 2.37213
5303 5 8 -0.230769 0.269864 80.795 0.097 32.2958 2.04478
5315 5 6 -0.0909091 0.300263 80.795 0.097 -1 -1
5316 8 8 0 0.25 80.795 0.097 -1 -1
5317 5 2 0.428571 0.341494 80.795 0.097 -1 -1
5318 4 12 -0.5 0.216506 80.795 0.097 30.0769 2.0209
5320 5 6 -0.0909091 0.300263 80.795 0.097 30.7706 1.99399
5321 7 1 0.75 0.233854 80.795 0.097 31.2737 2.09319
5322 8 4 0.333333 0.272166 80.795 0.097 31.8473 2.18147
5323 6 6 0 0.288675 80.795 0.097 32.5777 2.13361
5324 18 2 0.8 0.134164 80.795 0.097 33.1139 1.99293
5364 2 2 0 0.5 80.795 0.097 -1 -1
5378 6 9 -0.2 0.252982 80.795 0.097 37.4875 2.29434
5379 6 6 0 0.288675 80.795 0.097 36.6414 2.41344
5380 8 7 0.0666667 0.257624 80.795 0.097 36.4258 2.43624
5385 2 0 1 0 80.795 0.097 36.4563 2.60752
5386 2 8 -0.6 0.252982 80.795 0.097 36.7713 2.4658
5387 6 3 0.333333 0.31427 80.795 0.097 -1 -1
5388 5 5 0 0.316228 80.795 0.097 -1 -1
5406 1 5 -0.666667 0.30429 80.795 0.097 38.932 2.76037
5407 0 1 -1 0 80.795 0.097 38.9195 2.74235
5408 2 3 -0.2 0.438178 80.795 0.097 38.4609 2.70434
5409 0 2 -1 0 80.795 0.097 37.5397 2.64398
5412 2 5 -0.428571 0.341494 80.795 0.097 37.7889 2.65124
5414 1 0 1 0 80.795 0.097 37.9439 2.6658
5416 2 0 1 0 80.795 0.097 38.1183 2.68755
5449 1 0 1 0 80.795 0.097 36.778 2.68774
5453 1 0 1 0 80.795 0.097 37.0007 2.64446
5454 0 1 -1 0 80.795 0.097 36.6203 2.60941
5460 1 0 1 0 80.795 0.097 37.1369 2.6545
5461 2 3 -0.2 0.438178 80.795 0.097 36.9035 2.637
5462 10 8 0.111111 0.234243 80.795 0.097 36.3804 2.54071
5463 3 6 -0.333333 0.31427 80.795 0.097 36.4627 2.29486
5464 6 6 0 0.288675 80.795 0.097 36.5987 2.60702
5465 3 0 1 0 80.795 0.097 36.6729 2.60931
5466 5 4 0.111111 0.331269 80.795 0.097 36.6322 2.45566
5467 6 2 0.5 0.306186 80.795 0.097 36.5253 2.42671
5468 11 11 0 0.213201 80.795 0.097 36.2451 2.52066
5469 11 6 0.294118 0.231808 80.795 0.097 36.2247 2.42032
5470 5 10 -0.333333 0.243432 80.795 0.097 36.1166 2.41215
5471 7 10 -0.176471 0.238729 80.795 0.097 36.0615 2.43142
5472 12 12 0 0.204124 80.795 0.097 35.8594 2.28338
