#run A_phys dA_stat
5045 -0.0177219 5.68488
5046 -0.0177295 5.68734
5047 -1.63805 3.54967
5048 -1.77739 1.5155
5049 2.73871 4.50206
5053 -2.27997 2.40561
5054 -0.0182497 3.37991
5086 -0.0181548 4.11801
5090 -1.06009 2.06711
5091 1.1977 1.42459
5093 -3.23968 1.86429
5094 -2.93632 3.36829
5095 0.689969 1.43334
5099 -3.50408 2.52504
5100 1.42856 2.47243
5101 1.2186 3.24107
5102 -0.0189798 3.0442
5103 0.830095 1.88847
5104 -2.08555 2.8308
5105 -2.72378 3.12449
5106 2.65437 3.0854
5107 0.322334 1.77967
5108 1.19025 1.64242
5109 2.97925 4.89748
5110 -0.0197147 2.23592
5112 0.788411 2.66875
5113 -0.0195281 2.0881
5114 0.501078 2.14272
5115 -1.28073 1.90686
5116 -1.27706 1.64665
5121 0.915668 1.67045
5122 -0.62664 2.34406
5124 -2.03153 2.08026
5126 -0.710954 2.48458
5127 2.71646 1.6593
5129 3.99441 2.37155
5135 3.72979 2.98734
5140 4.1977 3.65142
5142 -8.41581 0
5143 2.78742 3.24007
5145 3.80704 2.26031
5146 -0.0187437 2.27257
5147 -3.91144 1.90504
5148 0.628095 2.32453
5152 -1.974 1.61686
5153 -0.389352 1.77548
5154 -0.0188456 1.67668
5155 -8.59086 0
5156 -2.88361 3.30784
5164 1.70559 1.8892
5165 -2.40721 2.53986
5167 0.397161 1.90619
5176 0.368276 1.85875
5183 -2.5043 1.86839
5185 0.993712 2.13734
5186 -0.838106 1.91106
5187 -304.37 -0
5188 0.67241 -152.521
5301 6.98792 1.88771
5302 1.25876 2.36731
5303 -1.20206 2.34393
5315 -75.5883 -73.839
5316 18.6161 -73.8557
5317 -217.215 -80.6899
5318 -3.82585 2.35062
5320 -0.0218528 2.86182
5321 9.73549 0
5322 -0.0211475 2.76946
5323 1.31813 2.47895
5324 6.56517 1.72449
5364 -101.008 -166.044
5378 -1.89408 2.194
5379 -0.571828 2.13902
5380 2.77285 2.2791
5385 8.34891 0
5386 -4.48779 1.9399
5387 -75.5883 -104.424
5388 -33.2212 -101.051
5406 -3.92867 1.95571
5407 -7.86096 0
5408 1.42552 1.66388
5409 -3.13593 2.07551
5411 -0.0178917 3.31361
5412 -3.47695 1.94902
5414 -2.69578 4.37327
5416 2.16509 2.32163
5449 8.27588 0
5453 8.22607 0
5460 8.19151 0
5461 4.1132 3.57791
5462 -1.49841 2.00203
5463 -2.80641 2.62853
5464 -0.0183745 2.4063
5465 4.14108 3.60217
5466 1.64655 2.57926
5467 2.76599 3.21515
5468 2.45727 1.95131
5469 5.81221 1.6856
5470 -4.24102 1.82835
5471 -0.018649 1.89177
5472 1.52829 1.78383
5476 0.928506 1.99709
5477 2.00692 1.80316
5478 -0.0187068 3.00041
5479 -4.26854 3.68044
5480 -0.520683 2.06571
5481 2.84166 1.90705
5482 4.28192 3.72468
