#run A_phys dA_stat
5045 -0.0079347 4.8305
5046 -0.00793813 4.83258
5047 -3.44659 2.97792
5048 -0.845242 1.38515
5049 7.02053 0
5053 -7.05129 0
5054 -7.04498 0
5086 -0.00812909 3.49935
5090 -0.00821291 2.88667
5091 0.899039 1.80071
5093 -2.48413 4.04249
5094 -7.44429 0
5095 -0.684348 2.23181
5099 7.38827 0
5100 -0.00857479 3.69121
5101 -7.37118 0
5102 -0.00847664 5.16042
5103 -0.00837163 2.94246
5104 -7.03464 0
5105 2.28903 3.75104
5106 -0.00789925 4.80891
5107 -1.97314 2.68935
5108 3.31071 2.64521
5109 7.63689 0
5110 -1.52829 3.32898
5112 -2.52666 4.11169
5113 -2.51782 2.89723
5114 -2.51496 2.89394
5115 -1.08057 1.98469
5116 -2.50279 2.35146
5121 2.55886 2.96505
5122 -0.00898439 2.73476
5124 2.55546 4.18765
5126 -0.00886406 3.11554
5127 -0.00878753 2.67484
5129 7.49138 0
5135 2.46961 4.04695
5140 7.15277 0
5142 -7.1446 0
5143 7.13794 0
5145 2.37127 3.88581
5146 2.4018 3.93584
5147 2.35451 2.72826
5148 3.55919 3.08953
5152 -1.87491 1.33818
5153 -0.00841144 1.70691
5154 -0.668902 1.54251
5155 -0.0084633 5.1523
5156 -1.05153 2.73135
5164 -0.00850709 3.66207
5165 1.47579 3.25219
5167 3.17485 2.53666
5176 -0.956941 1.88139
5183 -3.4505 1.63497
5185 1.71365 1.78147
5186 -0.34158 1.59402
5187 -86.0981 -141.089
5188 0.301062 -129.599
5301 4.58757 1.93804
5302 0.941705 1.88616
5303 -1.86141 2.16586
5315 23.8645 -77.8275
5316 0.301062 -64.7994
5317 -110.784 -88.5145
5318 -4.31893 1.86581
5320 -0.775562 2.52928
5321 6.20641 1.93819
5322 2.70347 2.2151
5323 -0.00924134 2.29678
5324 6.25288 1.05016
5364 0.301062 -129.599
5378 -1.39088 1.74918
5379 -0.00821643 2.04206
5380 0.46612 1.83319
5385 7.10156 0
5386 -4.23754 1.78325
5387 -86.0981 -81.4581
5388 0.301062 -81.9656
5406 -4.44621 2.02587
5407 -6.66758 0
5408 -1.35568 2.95299
5409 -6.91265 0
5412 -2.94758 2.34234
5414 6.82315 0
5416 6.79193 0
5449 7.03945 0
5453 6.99708 0
5454 -7.0862 0
5460 6.97141 0
5461 -1.41289 3.07762
5462 0.783352 1.6689
5463 -2.37778 2.23401
5464 -0.00822602 2.04444
5465 7.05962 0
5466 0.777968 2.34395
5467 3.53995 2.17282
5468 -0.00830627 1.52465
5469 2.09619 1.65865
5470 -2.40056 1.74704
5471 -1.27676 1.7159
5472 -0.00839561 1.47544
5476 0.336513 1.57886
5477 1.4375 1.5839
5478 7.19887 0
5479 -1.45292 3.16481
5480 -1.91563 1.60406
5481 2.42273 1.6208
5482 2.42792 3.97864
5483 -1.07846 1.61733
5484 -0.00914214 1.75999
5485 -1.6496 2.07454
5486 -36.7272 -68.563
5494 -1.24148 2.10555
5495 -0.00854262 1.73353
5496 -1.47631 3.21575
5497 -7.29255 0
5499 -1.46258 3.18585
5501 -3.62533 2.21491
5502 -0.00842967 1.71061
5503 -1.1144 1.89002
5504 -0.00650553 1.61684
5505 -0.00585617 1.26046
5506 -0.00868729 1.67242
5507 2.27426 1.38446
5508 -0.441377 1.78152
5511 -0.743246 1.63463
5512 -0.00846825 1.63025
5513 -2.57965 1.40443
5514 -1.64721 1.91662
5515 -0.00825378 1.58896
5517 -3.56864 3.08337
5518 1.77351 2.43982
