#run A_phys dA_stat
3510 5.39078 0
3511 -0.00278852 3.81346
3512 5.38913 0
3514 5.38772 0
3515 5.38612 0
3517 -1.24604 1.45387
3518 0.595544 1.78387
3519 2.84682 1.10751
3520 -1.79604 1.4642
3521 -0.771114 2.01197
3523 0.594655 1.78121
3524 0.355452 1.38433
3525 -1.79309 1.46179
3526 -3.22397 1.92075
3552 -0.00267285 2.11037
3553 -0.00275856 1.88624
3554 5.44846 0
3555 0.363921 1.41731
3556 -1.27941 1.49281
3557 2.1341 1.42245
3558 2.05262 1.18993
3559 -0.00288724 1.97423
3560 0.425199 1.53888
3561 2.13819 1.42518
3562 1.5737 1.41326
3578 2.12256 1.41476
3579 0.551773 1.234
3580 -0.621677 1.30454
3581 -1.29413 1.50999
3582 2.77012 2.40148
3583 1.83414 2.9998
3588 3.03627 1.51617
3589 -2.29486 1.23025
3590 -0.438534 1.56594
3591 1.35434 1.2082
3592 0.434419 1.57225
3593 -0.301487 1.29956
3594 1.88206 1.25665
3595 -2.32617 1.24704
3596 -2.81913 2.43892
3671 2.55921 2.21864
3672 3.45844 1.57978
3673 1.45408 1.54954
3694 -3.49025 1.2916
3695 -2.74728 1.36931
3696 -0.00258753 3.5386
3697 -0.00258438 1.76714
3698 4.98659 0
3701 -2.00256 1.44912
3702 -0.719803 0.939046
3703 -2.0494 1.04865
3704 -0.00267724 1.22043
3705 -1.15856 1.19534
3706 5.21098 0
3708 2.58607 2.24192
3709 1.56164 1.02089
3710 1.38858 1.04634
3711 -2.39236 1.16939
3712 -0.00270137 1.39631
3713 -0.00271965 1.23976
3714 1.92668 1.11692
3715 -0.00270038 0.953508
3716 -0.00270028 1.16776
3717 1.19677 0.991829
3718 -3.41806 1.55891
3719 -1.70785 1.2453
3720 5.09903 0
3721 5.08142 0
3722 2.489 1.52577
3723 1.24091 1.70271
3729 -0.343654 1.31778
3730 1.66023 2.71536
3731 -1.68798 1.94609
3732 1.72695 1.06756
3733 -0.00268031 2.11626
3734 0.572041 1.21161
3737 3.27834 1.19917
3738 -0.861802 1.46725
3739 1.93411 1.19696
3740 -0.43296 1.05032
3741 -0.647325 1.2792
3742 -0.00265037 2.56293
3747 5.08946 0
3748 -0.00257885 1.33297
3749 3.19548 1.16886
3750 -0.720358 1.87954
3752 1.51668 1.08025
3753 -1.70191 1.96216
3754 1.27598 1.75083
3755 1.47251 1.32238
3756 1.73168 1.15625
3758 -0.352227 1.35065
3759 -0.406607 1.45194
3761 1.04784 2.30166
3762 0.434533 1.0673
3763 -0.00271628 1.07233
3764 2.6206 1.31166
3765 -0.954388 1.09735
3766 -1.04758 1.02376
3767 -0.431126 1.53949
3782 4.73528 0
3784 -3.41896 1.26522
3786 -0.00246193 3.36684
3787 1.19464 1.63922
3788 0.436978 1.45155
3789 1.34985 1.43847
3790 -0.00258441 3.53432
3791 1.66761 1.57468
3792 -4.99698 0
3795 4.97476 0
3796 -6.09064 0
3810 -0.434761 1.42785
3811 0.529912 1.58728
3812 2.1751 1.2866
3813 -1.20538 1.64713
3815 4.76872 0
3822 -0.00248306 2.40114
3823 -0.958335 1.48082
3824 -0.371622 1.32701
3825 1.40764 1.11138
3826 -1.12169 1.30879
3827 1.83426 1.13517
3828 0.616402 1.22821
3829 -0.00257517 1.57495
3830 -1.31367 1.1027
3832 0.38078 1.37811
3833 1.9857 1.44064
3835 -1.46691 1.15411
3836 -1.35707 1.44069
3837 2.97328 1.02448
3838 -0.992903 1.53423
3839 0.822228 1.40859
3840 2.034 1.09315
3841 2.74387 1.37016
3842 -0.331485 1.27112
3843 -1.64555 1.34151
3844 0.544052 1.62963
3846 -0.00252775 1.54595
3847 0.605605 1.2067
3848 0.438417 1.45633
3849 0.229315 1.06118
3850 -0.00253983 1.15779
3851 -0.295365 1.20512
3852 -0.619091 1.01997
3853 -2.0575 1.36772
3854 -1.61136 1.44185
3855 -0.65444 1.37329
3856 -0.00340814 1.40529
3857 -1.38464 3.02576
3858 -0.00410029 2.5077
3859 -1.35078 1.9317
3860 -0.00472063 3.22786
3861 -1.10232 3.27127
3864 -0.00278851 1.55683
3866 1.19692 1.40283
3868 1.37949 1.47006
3869 0.562392 1.19117
3878 2.85984 1.70675
3880 0.479201 1.0717
3881 -0.00250091 1.97462
3882 0.811376 1.39
3883 -0.985328 1.24314
3884 1.23425 1.19753
3885 1.35445 1.44338
3889 -1.42896 1.51701
3890 -0.882264 1.06214
3923 2.09815 1.67387
3924 -4.88313 0
