#run N+ N- A_raw dA_raw beamPol dBeam targetPol dTgt
2506 39 21 0.3 0.123153 -1 -1 37.7256 0.824031
2507 21 12 0.272727 0.167479 -1 -1 38.2642 0.832468
2511 35 39 -0.0540541 0.116078 -1 -1 39.3853 0.849812
2512 9 20 -0.37931 0.171818 -1 -1 39.9359 0.859374
2516 51 41 0.108696 0.103639 -1 -1 42.7777 0.966908
2517 39 28 0.164179 0.120512 -1 -1 42.7283 0.954739
2518 21 13 0.235294 0.166684 -1 -1 42.4332 0.940312
2519 21 20 0.0243902 0.156127 -1 -1 41.9906 0.930218
2520 35 38 -0.0410959 0.116942 -1 -1 41.7636 0.922606
2521 40 29 0.15942 0.118846 -1 -1 41.6552 0.916413
2522 31 24 0.127273 0.133743 -1 -1 41.7156 0.912531
2523 9 10 -0.0526316 0.229098 -1 -1 41.7453 0.910598
2524 35 48 -0.156627 0.10841 -1 -1 41.361 0.911304
2525 23 27 -0.08 0.140968 -1 -1 40.8 0.91321
2526 13 23 -0.277778 0.160108 -1 -1 40.6287 0.968497
2527 41 48 -0.0786517 0.105671 -1 -1 40.7034 1.07087
2528 45 33 0.153846 0.11188 -1 -1 40.7319 1.14166
2529 15 17 -0.0625 0.176431 -1 -1 40.7083 1.1538
2531 1 3 -0.5 0.433013 -1 -1 40.7314 1.1598
2535 29 27 0.0357143 0.133545 -1 -1 40.8666 1.15091
2536 11 2 0.692308 0.200137 -1 -1 40.8781 1.14792
2537 24 25 -0.0204082 0.142827 -1 -1 40.7582 1.14635
2539 57 43 0.14 0.0990152 -1 -1 40.5342 1.14439
2540 59 52 0.0630631 0.0947269 -1 -1 40.3338 1.14304
2541 44 33 0.142857 0.112792 -1 -1 41.6928 1.15423
2542 42 42 0 0.109109 -1 -1 44.734 1.17861
2543 49 45 0.0425532 0.103049 -1 -1 45.97 1.18849
2544 49 34 0.180723 0.107957 -1 -1 46.0333 1.18612
2545 1 1 0 0.707107 -1 -1 46.3496 1.17922
2551 54 40 0.148936 0.101992 -1 -1 43.3373 0.985458
2552 33 28 0.0819672 0.127606 -1 -1 43.0536 0.970328
2553 47 40 0.0804598 0.106864 -1 -1 42.9452 0.962606
2554 56 29 0.317647 0.102848 -1 -1 42.8869 0.962898
2555 28 39 -0.164179 0.120512 -1 -1 42.8823 0.963191
2556 41 50 -0.0989011 0.104315 -1 -1 42.5216 0.955527
2557 40 52 -0.130435 0.103367 -1 -1 41.9843 0.94002
2558 41 53 -0.12766 0.102298 -1 -1 41.3194 0.923423
2559 20 20 0 0.158114 -1 -1 41.1863 0.916615
2560 28 27 0.0181818 0.134818 -1 -1 41.4304 0.920516
2561 46 35 0.135802 0.110082 -1 -1 41.6209 0.923672
2562 30 22 0.153846 0.137024 -1 -1 41.7403 0.925479
2563 5 12 -0.411765 0.22102 -1 -1 41.8045 0.926583
2564 1 3 -0.5 0.433013 -1 -1 41.8524 0.927333
2565 11 13 -0.0833333 0.203414 -1 -1 41.8831 0.927865
2566 5 1 0.666667 0.30429 -1 -1 41.9181 0.928449
2568 1 2 -0.333333 0.544331 -1 -1 41.9494 0.928906
2569 4 5 -0.111111 0.331269 -1 -1 42.052 0.929527
2570 4 1 0.6 0.357771 -1 -1 42.0397 0.93026
2571 14 11 0.12 0.198555 -1 -1 42.0958 0.930974
2572 50 27 0.298701 0.108758 -1 -1 42.2266 0.932593
2574 70 70 0 0.0845154 -1 -1 42.4697 0.935159
2575 56 49 0.0666667 0.0973729 -1 -1 42.5984 0.941566
2576 27 25 0.0384615 0.138572 -1 -1 42.6963 0.949481
2577 29 31 -0.0333333 0.129028 -1 -1 42.7375 0.957893
2578 22 20 0.047619 0.154128 -1 -1 43.5381 0.964757
2579 42 47 -0.0561798 0.105832 -1 -1 43.9356 0.967328
2580 39 43 -0.0487805 0.1103 -1 -1 44.5213 0.977105
2581 30 29 0.0169492 0.13017 -1 -1 44.6563 0.986119
2583 84 68 0.105263 0.0806601 -1 -1 43.718 0.99997
2585 67 51 0.135593 0.0912073 -1 -1 43.0264 0.972903
2586 69 45 0.210526 0.0915595 -1 -1 42.6966 0.959125
2587 40 30 0.142857 0.118297 -1 -1 42.3767 0.946682
2613 53 55 -0.0185185 0.0962085 86.488 0.08 42.0792 0.984904
2614 33 23 0.178571 0.131483 86.488 0.08 42.4313 0.984294
2615 44 54 -0.102041 0.100488 86.488 0.08 42.9216 0.983544
2616 35 47 -0.146341 0.109243 86.488 0.08 43.1249 0.98573
2617 52 42 0.106383 0.102557 86.488 0.08 43.1322 0.992242
2618 67 68 -0.00740741 0.0860639 86.488 0.08 43.1551 0.999146
2619 57 32 0.280899 0.101732 86.488 0.08 43.2499 1.00567
2620 60 49 0.100917 0.0952936 86.488 0.08 43.3018 1.00929
2621 46 41 0.0574713 0.107034 86.488 0.08 43.3346 1.01308
2622 47 35 0.146341 0.109243 86.488 0.08 43.1437 1.01593
2623 36 20 0.285714 0.12806 86.488 0.08 42.9419 1.01839
2624 62 45 0.158879 0.0954457 86.488 0.08 42.8212 1.01515
2625 60 56 0.0344828 0.0927925 86.488 0.08 42.7774 1.00638
2626 65 50 0.130435 0.0924538 86.488 0.08 42.8016 1.00212
2627 53 62 -0.0782609 0.0929645 86.488 0.08 42.8683 1.00347
2628 40 42 -0.0243902 0.110399 86.488 0.08 42.9208 1.00458
2629 65 65 0 0.0877058 86.488 0.08 43.0946 1.00469
2630 7 5 0.166667 0.284638 86.488 0.08 43.271 1.0042
2631 63 55 0.0677966 0.0918457 86.488 0.08 43.42 1.00378
2632 20 22 -0.047619 0.154128 86.488 0.08 43.6652 1.0031
2633 50 31 0.234568 0.108011 86.488 0.08 44.2626 1.01189
2634 14 12 0.0769231 0.195535 86.488 0.08 44.9244 1.02333
