#run A_phys dA_stat
2613 0.501034 0.517651
2614 -0.131612 0.787329
2615 -0.0591371 0.546856
2616 -0.752026 0.594945
2617 -0.332806 0.542016
2618 -0.041054 0.467993
2619 1.29348 0.544195
2620 0.622454 0.534897
2621 -0.201604 0.549363
2622 0.23681 0.570732
2623 1.05576 0.780911
2624 0.354802 0.545974
2625 -0.225392 0.505043
2626 0.134051 0.519618
2627 -0.66869 0.536104
2628 -0.546208 0.688674
2629 0.169711 0.479642
2630 3.08273 1.13803
2631 0.460977 0.489094
2632 0.00959389 0.731139
2633 -0.324331 0.528214
2634 -0.208642 0.948756
2635 -0.0322673 0.406514
2637 0.89077 0.491628
2638 0.159377 0.551665
2646 -0.21569 0.555315
2647 -0.298143 0.563334
2648 -1.01561 0.556478
2649 0.848749 1.30025
2650 0.372701 0.613668
2651 0.383489 0.552769
2659 0.446959 0.596737
2660 0.620228 0.554998
2661 0.00932439 0.585973
2662 -0.82437 0.913328
2667 0.0952945 0.600683
2668 -0.146579 0.573011
2669 -0.197202 0.537367
2670 1.10268 0.596506
2671 1.13815 0.559914
2674 0.65726 0.576953
2676 -0.937185 0.587053
2677 -0.313487 0.67025
2678 1.40587 2.28039
2679 0.331046 0.517086
2680 0.158263 0.556709
2681 0.876096 0.587313
2683 0.163101 0.798404
2684 1.64435 0.664069
2685 0.189917 0.611768
2687 0.982207 0.589482
2688 0.48963 0.573348
2689 -0.189139 0.642549
2690 -0.222545 0.694745
2691 -0.0925523 0.652667
2692 -1.00084 0.533317
2693 -0.67271 0.630486
2694 -0.0569302 0.526449
2695 0.195329 0.506934
2696 -0.72028 0.697898
2697 0.180778 0.593626
2698 0.141397 0.520108
2699 0.409196 0.568581
2700 0.718061 0.503681
2701 0.0916382 0.577636
2702 0.406059 0.475552
2703 -0.226836 0.560486
2704 0.190448 0.601228
2705 1.07516 0.597891
2706 -0.836357 0.496171
2707 0.116092 0.651643
2709 -0.840432 0.731655
2710 -0.296078 1.09644
2711 0.249791 0.488265
2712 0.438322 0.491629
2713 1.60703 1.15789
2714 -0.434827 0.591754
2715 0.929519 0.621513
2716 0.315454 0.550891
2717 -0.225258 0.556588
2718 -0.0795169 0.593372
2719 0.651088 0.498993
2720 0.111026 0.637209
2721 0.660232 0.529431
2722 1.2201 0.558905
2723 0.420291 0.519316
2724 0.833359 0.533745
2725 -0.296281 0.490677
2726 0.00888613 0.518491
2727 -0.304632 0.552329
2728 0.474868 0.545364
2729 0.617244 0.504108
2730 1.28836 0.934575
2763 0.748938 0.61728
2764 -0.497965 0.644846
2765 1.02652 0.804294
2766 0.911905 0.559879
2767 0.114577 0.459926
2768 0.188022 0.487969
2769 -0.265553 0.656152
2770 0.591254 1.34752
2959 -0.622741 1.25837
2964 2.32177 1.33591
2966 0.236933 1.12067
2967 0.488927 1.1143
2968 0.648495 0.789432
2970 -0.779198 0.953848
2971 0.010516 3.3043
2973 -0.499494 1.0748
2974 0.700365 0.783729
2976 0.0102636 1.86195
2981 -1.51211 2.48606
2983 0.620554 0.828166
2984 0.469522 0.589837
2985 -0.945361 0.618754
2986 -1.1418 1.57768
2988 -1.52715 1.77539
2989 -0.137009 0.579553
2990 0.655411 1.19477
2995 -0.356072 0.569979
2996 -0.905475 2.00637
2997 -0.167041 1.21238
2998 -0.364127 0.839765
2999 0.963713 0.777918
3000 0.230266 1.23077
3001 -0.244986 1.35441
3003 -0.288959 1.46005
3004 -1.02755 0.683891
3005 0.416843 0.803141
3006 -1.17333 0.951075
3007 0.080611 0.60284
3008 0.39772 0.982251
3009 0.0111301 1.00957
3011 -0.44345 0.732514
3013 -0.28162 0.824678
3014 0.481935 0.656701
3016 -0.869303 0.65766
3017 -0.294074 0.831636
