# Combined preliminary GEn summary table
# one-error format:  x ± err
# two-error format:  x ± stat ± sys

Variable          GEN2_He3                      GEN3_He3                      GEN4_He3                      GEN4b_He3                     
Q2 (GeV/c)^2      3.00                          6.83                          9.93                          9.77                          
N                 127281                        24677                         4173                          4754                          
N+                66402                         12964                         2212                          2442                          
N-                60879                         11713                         1961                          2312                          
Araw              0.0434 ± 0.0028              0.0507 ± 0.0064              0.0601 ± 0.0155              0.0273 ± 0.0145              
Pbeam             0.8409 ± 0.0018              0.8649 ± 0.0008              0.8370 ± 0.0007              0.8079 ± 0.0010              
P3He              0.3488 ± 0.0185              0.4159 ± 0.0111              0.5257 ± 0.0191              0.3675 ± 0.0235              
Pn                0.9600 ± 0.0050              0.9600 ± 0.0050              0.9600 ± 0.0050              0.9600 ± 0.0050              
Pp                -0.0300 ± 0.0020             -0.0300 ± 0.0020             -0.0300 ± 0.0020             -0.0300 ± 0.0020             
Aacc              -0.0074 ± 0.0090             -0.0188 ± 0.0307             0.0154 ± 0.1240              0.1398 ± 0.1027              
Api               0.0059 ± 0.0036              0.0072 ± 0.0023              0.0074 ± 0.0046              0.0055 ± 0.0055              
Ain               0.0120 ± 0.0029              0.0028 ± 0.0027              0.0052 ± 0.0056              0.0017 ± 0.0047              
Ap                0.0009 ± 0.0001              0.0002 ± 0.0001              -0.0001 ± 0.0002             -0.0001 ± 0.0001             
Afsi              0.0003 ± 0.0005              0.0003 ± 0.0005              0.0003 ± 0.0005              0.0003 ± 0.0005              
facc              0.0169 ± 0.0004              0.0085 ± 0.0006              0.0036 ± 0.0009              0.0048 ± 0.0010              
fN2               0.0302 ± 0.0007              0.0267 ± 0.0006              0.0285 ± 0.0007              0.0278 ± 0.0007              
fpi               0.0239 ± 0.0004              0.0197 ± 0.0009              0.0199 ± 0.0022              0.0281 ± 0.0024              
fin               0.0189 ± 0.0004              0.3004 ± 0.0039              0.3649 ± 0.0107              0.3693 ± 0.0101              
fp                0.0461 ± 0.0006              0.0222 ± 0.0009              0.0124 ± 0.0017              0.0139 ± 0.0017              
ffsi              0.0287 ± 0.0026              0.0287 ± 0.0026              0.0287 ± 0.0026              0.0287 ± 0.0026              
fn                0.8353 ± 0.0028              0.5938 ± 0.0050              0.5419 ± 0.0114              0.5274 ± 0.0109              
Aphys             0.1845 ± 0.0119 ± 0.0099    0.2525 ± 0.0306 ± 0.0082    0.2345 ± 0.0643 ± 0.0133    0.2139 ± 0.0916 ± 0.0187    
lambda            -0.2741 ± 0.0244 ± 0.0203   -0.4956 ± 0.0802 ± 0.0216   -0.5347 ± 0.1875 ± 0.0388   -0.4841 ± 0.2573 ± 0.0526   
mu_n GEn/GMn      0.5243 ± 0.0467 ± 0.0388    0.9480 ± 0.1534 ± 0.0413    1.0230 ± 0.3587 ± 0.0742    0.9262 ± 0.4922 ± 0.1006    
GMn/(mu_n GD)     0.9998 ± 0.0103              0.8377 ± 0.0349              0.7275 ± 0.0826              0.7324 ± 0.0796              
GEn               0.0192 ± 0.0017 ± 0.0014    0.0070 ± 0.0011 ± 0.0003    0.0033 ± 0.0012 ± 0.0002    0.0031 ± 0.0017 ± 0.0003    
