#run A_phys dA_stat
2033 14.8243 -21.5918
2035 0.206685 -19.2186
2042 6.43543 -6.08594
2046 4.12849 -14.494
2131 0.954762 0.438585
2141 0.409945 0.226413
2143 0.0263335 0.35465
2146 0.0742231 0.212985
2164 0.217874 0.111745
2165 0.202561 0.196484
2168 0.35697 0.0974204
2169 0.979745 0.849073
2170 0.235565 0.104461
2171 0.12481 0.20377
2172 0.128076 0.108821
2173 -0.0233136 0.136524
2174 0.330232 0.118279
2175 0.102244 0.107311
2176 0.152307 0.191158
2199 0.252615 0.134297
2200 0.0599919 0.109424
2201 0.356131 0.198338
2203 0.123021 0.114646
2204 0.219812 0.113926
2206 0.347837 0.131221
2208 0.181938 0.190673
2209 0.0363461 0.134373
2210 0.0842495 0.118144
2211 -0.276969 0.557809
2212 0.356503 0.100711
2213 0.284146 0.111883
2214 0.156078 0.110394
2215 0.20261 0.170073
2216 0.091573 0.101677
2217 0.0744996 0.107629
2218 -0.869558 0.485704
2219 0.251167 0.0976583
2220 0.59274 0.177288
2221 0.0138268 0.122025
2222 -0.0148007 0.116491
2223 0.397689 0.129777
2224 0.302302 0.11256
2225 0.139011 0.156056
2226 0.129759 0.125643
2227 0.376409 0.437781
2228 0.194675 0.0917722
2229 0.159201 0.0938847
2230 -0.0670295 0.127899
2231 0.323956 0.12092
2232 0.233436 0.118696
2233 0.186638 0.122725
2234 0.139397 0.116698
2235 0.422196 0.176305
2236 0.167127 0.116091
2237 0.0155766 0.103774
2238 0.454952 0.131451
2239 0.141419 0.115915
2240 -0.033954 0.146412
2241 0.395547 0.127493
2242 0.267007 0.125699
2243 -0.0660846 0.229243
2244 0.216193 0.112219
2245 0.196147 0.134402
2246 0.231213 0.115565
2247 0.321479 0.304971
2248 0.0284346 0.16826
2250 0.299784 0.139885
2251 -0.257042 0.608935
2252 0.129873 0.113113
2253 0.248014 0.120736
2254 0.0889742 0.124687
2255 0.11744 0.116863
2256 0.237257 0.114264
2257 0.0545371 0.124704
2258 0.0469442 0.10879
2259 0.2159 0.109848
2260 0.0714482 0.190472
2275 0.326138 0.224255
2276 -0.0469328 0.143974
2302 -1.34053 0.733936
2303 0.341205 0.188128
2304 0.461681 0.17921
2305 0.35017 0.248432
2306 -0.555716 0.455481
2307 0.245454 0.232829
2309 0.204206 0.177117
2310 0.19385 0.338849
2313 0.215035 0.155738
2314 0.385875 0.152779
2316 0.215116 0.126438
2318 0.0402595 0.120617
2319 0.424696 0.127233
2320 0.132918 0.312477
2321 0.0490686 0.140819
2322 0.0138789 0.143821
2323 0.042529 0.158707
