#run A_phys dA_stat
5045 -9.93574 0
5047 0.00445675 5.01039
5048 0.00451897 2.71555
5049 3.41578 5.57051
5053 -2.0471 4.49497
5086 0.00453164 5.09459
5090 -1.13051 3.38408
5091 0.557532 2.40652
5093 -3.60066 2.94386
5094 -5.40851 4.68808
5095 1.20621 2.53277
5099 -5.38409 4.66692
5100 2.93619 3.11794
5101 3.57668 5.83291
5102 -10.6924 0
5103 -5.25381 3.22015
5104 -2.03534 4.46915
5105 -10.0631 0
5106 -3.29497 5.38786
5107 6.1598 2.67134
5108 2.59482 3.02857
5110 1.0105 3.32131
5112 7.86654 2.91138
5113 1.8315 3.11956
5114 -2.18454 4.79675
5115 2.73542 3.73898
5116 0.995187 3.27099
5120 -11.0261 0
5121 -4.47025 3.24261
5122 1.61361 4.21232
5124 -5.08706 3.00858
5126 -6.67131 3.98095
5127 1.8392 3.13266
5129 1.56543 4.08654
5135 5.41172 4.68253
5140 0.00463936 7.37609
5142 -10.3846 0
5143 10.3659 0
5145 1.16128 3.44847
5146 2.10293 4.59706
5147 -0.933646 3.09889
5148 0.00462226 5.19647
5152 0.958051 3.14893
5153 2.1109 3.26294
5154 -0.700134 2.72374
5156 0.00472859 7.51796
5164 0.974647 3.20348
5165 2.15391 4.70851
5167 -2.70178 3.70616
5176 -11.0533 0
5183 1.25519 3.72733
5185 8.47606 2.64132
5186 -0.738563 2.87324
5187 -407.522 -0
5188 135.599 -221.728
5301 11.1694 0
5302 0.00491375 3.90617
5303 7.03072 4.18921
5315 -58.3726 -152.381
5316 -102.016 -139.444
5317 -0.181165 -203.67
5318 -7.15979 2.75024
5320 6.14018 5.31283
5321 12.1104 0
5322 8.47263 3.1357
5323 -3.85163 3.63621
5324 9.4897 1.81617
5364 407.159 -0
5378 0.00447558 2.90497
5379 2.56787 3.50996
5380 3.45792 3.25582
5385 10.356 0
5386 -6.89088 3.14734
5387 -0.181165 -166.296
5388 -0.181165 -203.67
5406 -9.63874 0
5408 0.0043709 3.47463
5409 4.99133 3.05384
5411 3.35146 5.46562
5412 -7.98032 1.89376
5414 3.31871 5.41221
5416 7.06749 2.61566
5461 -2.04099 4.48154
5462 -2.94152 2.64095
5463 -1.47379 3.87135
5464 -0.932869 3.09631
5465 5.15141 4.45729
5466 6.18601 3.68589
5467 3.44856 3.97675
5468 -3.45219 3.99157
5469 4.17278 3.02012
5470 -4.01081 2.67284
5471 0.00465719 4.27495
5472 3.94739 2.43666
5476 7.03815 2.27004
5477 3.95143 2.43916
5478 10.5157 0
5479 -3.50054 5.724
5480 -3.51331 3.31681
5481 5.71769 2.4796
5482 10.6598 0
5483 0.578254 2.49597
5484 -1.42831 2.84433
5485 2.37328 5.18805
5486 -0.181165 -166.296
5494 0.00479245 5.38779
5495 -1.18462 3.54604
5496 -5.31367 4.60587
5497 -10.5996 0
5499 5.2974 4.58361
5501 0.00468196 4.29769
5502 -0.947751 3.14571
5503 1.96305 4.29128
5504 8.01943 0
5505 1.69468 1.97796
5506 5.44836 2.72176
5507 2.95224 3.13498
5508 -1.18556 2.50943
5511 4.87437 2.87716
5512 0.510894 2.31691
5513 -0.681902 2.65281
5514 1.47973 3.86282
5515 -2.06458 2.61733
5517 3.46058 5.64357
5518 5.77584 2.87919
5519 -0.181165 -108.866
5523 -0.181165 -166.296
5524 2.44872 2.85805
5525 3.54363 2.88951
5526 -4.83228 2.8579
5527 -3.52886 2.88516
5529 -1.74782 2.99296
5531 -5.1966 4.5044
5532 -0.181165 -288.033
5533 -407.522 -0
5537 0.00522862 3.71767
5538 0.00513086 4.70975
5539 1.87388 3.19174
5541 1.01366 3.3317
5543 1.57512 4.11184
5544 -0.99342 3.29729
5545 -2.75182 3.77481
5548 0.00478669 4.39382
5549 -10.6927 0
5550 -3.53275 4.08472
5571 -4.71917 4.09056
5572 -1.36441 3.58402
5573 -1.94205 2.462
5574 0.666345 2.55793
5575 0.00447542 3.18213
5576 -40.9152 -90.6276
5577 31.1527 -112.641
5578 135.599 -110.864
5579 226.119 -112.899
5580 58.0103 -152.381
5581 -135.961 -221.728
5582 -203.851 -176.384
5583 0.00449304 5.05118
5584 2.031 3.13944
5586 2.04757 4.47606
5589 10.3208 0
5592 0.00459406 4.21701
5593 -10.3347 0
5596 3.45438 5.63347
5597 -2.58587 3.54716
5598 1.50469 2.77749
5599 1.53308 2.8299
5600 -4.96881 2.93864
5601 -7.38737 3.3741
5602 -1.98185 2.68781
5603 3.88926 3.66195
5604 -5.42214 3.20675
5605 1.64635 4.29779
5606 -3.3281 2.627
5608 -4.24266 2.62515
5609 -0.864437 3.1256
5611 1.99376 2.69036
5612 0.538791 2.44343
5613 0.00495516 3.93909
5614 0.742972 2.85208
5615 -10.99 0
5616 -0.990493 3.28758
5617 10.8176 0
5619 -8.01603 2.50093
5620 -5.24994 2.27531
5621 3.49307 3.28892
5622 0.00462567 7.35434
5623 3.32916 3.83906
5624 -1.11183 3.32817
5625 1.1474 2.4093
5626 6.27643 2.15915
