cointime_bin_low_edge,Asymmetry_percent,Error_percent
120.000000,0.000000,0.000000
130.000000,11.111111,19.125844
140.000000,33.333333,14.547859
150.000000,-18.750000,12.278308
160.000000,10.843373,10.911705
170.000000,-1.801802,6.710471
180.000000,2.801303,1.473041
190.000000,7.142857,9.424976
200.000000,-13.924051,11.141280
210.000000,-11.111111,11.712139
220.000000,1.408451,11.866639
230.000000,3.030303,12.303496
240.000000,-2.941176,12.121535
250.000000,0.000000,0.000000
260.000000,0.000000,0.000000
