#run A_phys dA_stat
2613 0.111259 0.00470068
2614 0.178233 0.0099746
2615 0.033288 0.00498374
2616 -0.0636058 0.00516678
2617 0.022709 0.00485989
2618 0.0198283 0.00356982
2619 0.174702 0.0054996
2620 0.0650937 0.00416615
2621 -0.0559843 0.00543916
2622 -0.0861731 0.00563657
2623 0.167331 0.00937043
2624 -0.0440271 0.00471334
2625 0.172326 0.00434119
2626 0.152499 0.0043973
2627 0.0982823 0.00415958
2628 -0.11714 0.00641432
2629 0.0359246 0.00416829
2630 0.290504 0.0484531
2631 0.321568 0.00411896
2632 -0.0226353 0.0105314
2633 -0.152704 0.00486951
2634 -0.268277 0.0147568
2635 0.1478 0.00261513
2637 0.138355 0.00387975
2638 0.066497 0.00485524
2646 -0.059473 0.00445698
2647 -0.171403 0.00413616
2648 -0.0435773 0.005254
2649 -0.231956 0.0255224
2650 -0.00153938 0.00360714
2651 0.0827706 0.00401198
2659 -0.0294628 0.00399207
2660 -0.0794979 0.00410255
2661 0.00334146 0.00486925
2662 -0.180147 0.0111423
2667 0.0141021 0.00391314
2668 0.0696306 0.00374545
2669 -0.126408 0.00346516
2670 0.0500372 0.00368389
2671 0.117034 0.00382205
2674 -0.0227066 0.00352556
2676 -0.0646504 0.00394261
2677 -0.190679 0.00449384
2678 0.0998079 0.101292
2679 0.0389718 0.00405093
2680 0.0636012 0.00325611
2681 0.0372665 0.00431078
2683 0.00566065 0.00719132
2684 0.345107 0.00491675
2685 -0.125897 0.00443757
2687 0.191282 0.00400819
2688 0.106309 0.00414502
2689 0.088688 0.00375761
2690 -0.115652 0.00542983
2691 0.0779519 0.00418233
2692 0.0153529 0.0033792
2693 -0.0519961 0.00458576
2694 -0.0178453 0.00326086
2695 0.177912 0.00358206
2696 -0.0373323 0.00511501
2697 -0.0939372 0.00369489
2698 0.0248009 0.00328882
2699 0.0413064 0.00305757
2700 0.0644933 0.00299879
2701 -0.028073 0.00332257
2702 -0.0567747 0.00290942
2703 0.0225691 0.00343529
2704 0.0606093 0.00365094
2705 0.0215848 0.00384163
2706 0.117124 0.00275531
2707 0.00899623 0.00522912
2709 -0.165705 0.00565366
2710 0.1111 0.0160671
2711 0.195158 0.00297174
2712 0.0157325 0.00344046
2713 0.0804854 0.0163847
2714 0.013047 0.00362991
2715 0.225195 0.00461063
2716 -0.176397 0.00342323
2717 0.152681 0.003754
2718 -0.125065 0.00352788
2719 0.0331217 0.00432338
2720 0.0159325 0.00434999
2721 0.114879 0.00387485
2722 0.32172 0.00386764
2723 0.126906 0.00427455
2724 0.0306605 0.00401538
2725 0.137312 0.00407654
2726 0.143982 0.00372405
2727 -0.127566 0.00449964
2728 0.071247 0.00454083
2729 0.217209 0.00382306
2730 0.303102 0.0116372
2763 0.0721122 0.00526107
2764 -0.0168631 0.00510982
2765 0.171942 0.00596969
