#run A_phys dA_stat
5045 -7.02549 0
5046 6.92112 0
5047 1.34971 3.07988
5048 -1.18068 1.61252
5049 3.53104 3.10754
5053 0.970377 2.69129
5054 -0.0573102 5.08145
5086 -0.0569773 3.57225
5090 0.49392 1.98095
5091 -0.379244 1.53543
5093 -1.81071 2.04673
5094 -3.85629 3.28722
5095 1.7447 1.60688
5099 -4.59442 2.70365
5100 1.99536 2.18626
5101 1.44287 3.29245
5102 -7.56053 0
5103 -0.62588 2.0386
5104 -3.12928 2.44792
5105 -7.11552 0
5106 -3.52063 3.00109
5107 2.60636 1.95007
5108 1.75278 2.12309
5109 7.74208 0
5110 0.643242 2.32886
5112 5.72602 1.80459
5113 0.450999 1.97963
5114 -0.0612105 3.13343
5115 -0.0610763 2.42183
5116 -0.0609128 1.9095
5120 -7.79649 0
5121 -2.30309 2.00848
5122 0.814516 2.6162
5124 -3.63294 2.10947
5126 -4.74224 2.79063
5127 1.86825 1.86853
5129 1.85388 2.62218
5135 3.73078 3.28332
5140 -0.0583317 5.17201
5142 -7.34394 0
5143 7.20727 0
5145 0.605697 2.19293
5146 0.759351 2.43901
5147 -0.614454 2.00138
5148 0.983052 2.72644
5152 -1.10897 1.94484
5153 -1.53532 1.86758
5154 -0.88281 1.73649
5155 7.38228 0
5156 -0.0594536 5.27149
5164 0.515871 2.06899
5165 3.17214 2.57555
5167 -1.95837 2.59871
5176 -6.08914 1.62361
5183 -0.062966 2.49676
5185 2.09637 2.29693
5186 -0.931176 1.83163
5187 -283.344 -0
5188 97.485 -155.473
5301 7.76274 0
5302 -0.0617817 2.73895
5303 -0.0654712 2.5961
5315 -92.9293 -89.7623
5316 -23.6878 -85.7616
5317 -54.8465 -125.153
5318 -5.34309 1.81531
5320 2.79725 3.30916
5321 5.01534 3.03086
5322 0.688626 2.49317
5323 -3.31177 2.3527
5324 4.73076 1.65057
5364 287.9 -0
5378 -0.598702 1.95008
5379 1.74002 2.46114
5380 -0.0579341 2.09707
5385 7.20037 0
5386 -5.49724 1.69604
5387 2.27783 -116.604
5388 -92.9293 -109.936
5406 -6.81688 0
5408 1.09248 1.95952
5409 1.34328 2.16743
5411 3.46396 3.04851
5412 -4.51009 1.62798
5414 2.26833 3.79497
5416 4.89771 1.83424
5461 -1.49149 3.1424
5462 -1.50348 1.82884
5463 -0.864108 2.40374
5464 -0.714995 2.17109
5465 3.55132 3.12539
5466 4.27672 2.5845
5467 0.97721 2.71024
5468 -0.866404 2.41013
5469 1.15952 2.07977
5470 -3.1956 1.76763
5471 0.757074 2.43169
5472 0.678726 1.64093
5476 5.06197 1.4804
5477 2.11161 1.71064
5478 4.36352 2.63695
5479 -2.51661 4.01359
5480 -3.75748 1.84924
5481 4.07517 1.45852
5482 2.43108 4.06725
5483 -0.060978 1.70974
5484 -1.06921 1.99441
5485 -0.0664175 2.94447
5486 -69.1276 -97.776
5494 -0.0602525 3.08439
5495 -1.56116 2.3258
5496 -4.53588 2.6692
5497 -7.4949 0
5499 3.65197 3.21397
5501 -1.90407 2.52666
5502 0.431116 1.89236
5503 -1.01614 2.52019
5504 2.38209 1.93409
5505 1.49629 1.09295
5506 2.80265 1.76972
5507 1.6876 2.04414
5508 -1.13302 1.62239
5511 3.15948 1.81392
5512 -0.383328 1.55197
5513 -1.33174 1.72368
5514 0.976531 1.9151
5515 -1.67002 1.66721
5517 1.39594 3.18538
5518 4.31259 1.84284
5519 -48.1261 -68.1862
5523 43.0809 -106.848
5524 1.79745 1.79772
5525 2.42208 1.8122
5526 -4.07693 1.74369
5527 -1.5465 1.88117
5529 -0.550162 1.89887
5531 -3.7052 3.15842
5532 59.4022 -125.153
5533 -283.344 -0
5537 -0.814521 2.47331
5538 1.5554 2.50968
5539 1.24774 2.238
5541 0.645335 2.33643
5543 0.794283 2.55121
5544 -0.653601 2.12889
5545 -1.99464 2.64684
5548 -0.0601721 3.08028
5549 -7.56074 0
5550 -3.24928 2.5418
5571 -3.36479 2.86825
5572 -0.799211 2.22322
5573 -0.907731 1.6932
5574 0.311096 1.59599
5575 -0.599125 1.95145
